AGE,GENDER,MARITAL_STATUS,CUSTOMER_CLASS,LINE_TENURE,SUBPLAN,SUBPLAN_PREVIOUS,NUM_TEL,NUM_ACT_TEL,PAY_METD,PAY_METD_PREV,CUSTOMER_TYPE
2,1,1,3,2318.0,2102.0,2102,2,1,2,1,0
1,0,1,3,1834.0,2105.0,2105,6,3,2,2,0
2,1,1,3,1898.0,2102.0,2102,2,2,2,2,0
2,1,0,3,1378.0,2103.0,2102,1,1,2,2,0
2,1,0,3,1026.0,2101.0,2101,3,2,2,2,0
2,0,1,3,945.0,2242.0,2101,2,2,2,2,0
2,0,0,3,1558.0,2135.0,2114,1,1,2,2,0
1,1,1,4,841.0,2206.0,2134,1,1,2,2,0
1,0,1,5,449.0,2242.0,2242,1,1,2,2,0
2,1,0,3,1815.0,2105.0,2105,2,2,4,2,0
2,1,1,3,757.0,2135.0,2135,1,1,2,2,0
2,1,0,5,794.0,2105.0,2105,2,2,1,1,0
1,1,1,3,2026.0,2102.0,2107,2,2,2,2,1
1,0,1,3,1111.0,2242.0,2206,1,1,2,2,0
2,1,0,3,1931.0,2135.0,2101,4,2,2,2,0
1,1,1,6,1423.0,2135.0,2101,1,0,2,2,0
2,0,0,3,360.0,2242.0,2242,1,1,2,2,0
1,1,1,3,2237.0,2206.0,2108,1,1,4,2,0
2,0,0,3,656.0,2101.0,2101,3,3,2,2,0
1,0,1,3,713.0,2242.0,2107,1,1,2,2,0
1,1,1,3,2616.0,2102.0,2107,1,1,2,2,0
2,1,1,7,2497.0,2165.0,2183,3,2,2,2,0
2,1,1,3,3124.0,2137.0,2104,2,2,2,2,0
2,1,0,3,1557.0,2114.0,4101,1,1,2,2,0
1,0,1,3,2101.0,2102.0,2102,1,1,2,2,0
2,0,0,3,1087.0,2105.0,2105,2,2,2,2,0
1,1,1,3,731.0,2105.0,2105,2,1,2,2,0
3,1,0,3,947.0,2106.0,2106,3,1,4,2,0
2,0,1,3,492.0,2242.0,2135,2,1,2,2,0
2,1,1,3,1418.0,2102.0,2101,2,1,2,1,0
1,1,1,3,2432.0,2137.0,2104,2,0,1,2,0
2,1,0,3,2046.0,2101.0,2101,2,1,2,2,0
2,1,0,3,1111.0,2114.0,2101,1,1,2,2,0
2,0,1,3,842.0,2105.0,2105,3,2,1,1,0
1,0,1,4,268.0,2241.0,2241,1,1,2,2,0
2,0,0,3,576.0,2206.0,2206,1,1,2,2,0
2,1,0,3,1548.0,2114.0,4101,2,2,0,2,0
2,1,0,3,3014.0,2243.0,2102,1,1,4,2,0
2,0,1,3,2511.0,2107.0,2101,2,2,2,2,0
2,1,0,3,268.0,2241.0,2241,1,1,2,2,0
2,1,1,3,884.0,2119.0,2119,7,3,2,2,0
1,1,0,3,1114.0,2241.0,2101,1,1,2,2,0
2,1,0,7,1555.0,2114.0,2102,2,1,2,1,0
2,0,1,7,1963.0,2161.0,2101,3,3,2,2,0
1,1,1,3,1576.0,2103.0,2103,1,1,2,2,0
2,0,0,3,1782.0,2101.0,2105,3,2,2,2,0
1,0,1,3,632.0,2206.0,2206,2,1,2,2,0
2,1,1,3,321.0,2242.0,2242,4,1,2,2,0
2,1,1,3,454.0,2248.0,2241,1,1,4,4,0
2,1,0,3,1214.0,2105.0,2105,3,2,2,0,0
2,1,0,3,765.0,2241.0,2135,1,1,2,2,0
1,0,1,3,1893.0,2102.0,2120,1,0,2,2,0
2,1,0,3,3130.0,2248.0,2101,2,2,4,4,0
2,0,1,3,1994.0,2242.0,2101,2,2,2,2,0
2,1,0,3,1368.0,2206.0,2101,3,2,2,2,0
1,1,1,3,990.0,2242.0,2101,1,1,2,2,0
1,1,1,3,1406.0,2243.0,2206,3,1,2,2,1
2,1,1,3,991.0,2101.0,2102,4,1,2,2,0
2,0,1,7,1658.0,2156.0,2166,1,1,2,2,0
1,1,1,3,422.0,2242.0,2242,2,1,2,2,0
2,0,0,3,334.0,2241.0,2241,1,1,2,2,0
2,0,0,7,1869.0,2105.0,2105,3,3,2,2,0
2,1,0,3,673.0,2102.0,2101,1,1,2,2,0
1,1,0,3,1146.0,2242.0,2101,1,1,2,2,0
1,0,1,4,410.0,2248.0,2242,1,1,2,2,0
2,0,0,3,1084.0,2242.0,2107,1,1,2,2,0
2,1,1,9,210.0,2208.0,2208,10,10,2,2,1
2,1,0,3,1901.0,2104.0,2102,3,3,2,2,0
2,1,1,3,2286.0,2248.0,2242,7,4,0,2,0
2,1,1,7,1523.0,2166.0,2166,3,2,2,2,0
2,1,0,3,2046.0,2102.0,2101,5,3,1,2,1
2,1,1,3,2063.0,2102.0,2101,1,0,1,3,1
2,1,1,3,391.0,2242.0,2242,1,1,2,2,0
2,1,1,7,1474.0,2156.0,2156,3,2,2,1,0
2,0,0,3,342.0,2242.0,2242,2,2,2,2,0
2,0,0,3,1726.0,2242.0,2135,4,3,2,2,0
2,0,1,7,2560.0,2156.0,2156,2,2,2,2,0
