,0,1,2,3,4,5,6,7,8,9,10,11
0,0.002,5.349,16.375,17.663,21.064,24.104,33.259,45.507,50.543,50.628,55.285,60.521
1,0.962,0.069,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.076,0.145,4.873,5.368,7.596,8.913,15.374,27.406,32.311,32.566,37.745,43.132
3,0.783,0.93,0.181,0.252,0.18,0.179,0.031,0.001,0.0,0.0,0.0,0.0
4,0.05,0.076,0.13,0.554,2.161,4.546,11.141,20.23,25.148,25.865,29.291,33.879
5,0.823,0.963,0.988,0.968,0.826,0.603,0.133,0.009,0.003,0.004,0.002,0.001
6,0.277,1.368,5.324,9.06,14.787,20.185,24.922,32.574,39.717,39.932,45.884,49.404
7,0.599,0.505,0.15,0.06,0.011,0.003,0.001,0.0,0.0,0.0,0.0,0.0
8,0.021,0.085,0.702,2.227,5.644,8.336,13.559,23.145,28.804,29.257,33.158,38.499
9,0.886,0.959,0.873,0.694,0.342,0.215,0.06,0.003,0.001,0.001,0.0,0.0
10,0.0,0.071,0.088,0.345,5.208,5.794,14.919,19.735,20.62,21.135,21.458,21.96
11,0.99,0.965,0.993,0.987,0.391,0.447,0.037,0.011,0.014,0.02,0.029,0.038
12,0.066,0.169,0.31,0.422,1.092,2.271,8.267,17.926,23.032,24.071,28.133,32.675
13,0.797,0.919,0.958,0.981,0.955,0.893,0.31,0.022,0.006,0.007,0.003,0.001
14,0.441,0.449,0.547,1.165,4.27,4.566,5.429,8.701,13.38,17.473,20.123,20.813
15,0.507,0.799,0.909,0.884,0.511,0.601,0.608,0.368,0.146,0.065,0.044,0.053
16,0.006,0.007,0.637,2.168,6.941,7.002,7.571,10.009,11.515,16.493,20.821,20.926
17,0.936,0.996,0.888,0.705,0.225,0.321,0.372,0.264,0.242,0.086,0.035,0.051
