Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
牛逼,2,7599,5.3,2.349,2.97,50,30.492,1
上香,2,3036,4.9,3.716,3.644,50,16.066,1
开炮,2,656,4.5,4.815,4.869,50,4.333,-1
牛逼,2,1065,4.7,5.291,5.409,50,3.576,1
初音,2,1051,4.8,3.194,2.883,50,1.718,-1
牛逼,2,426,4.9,2.969,3.143,50,1.659,1
泪目,2,1048,4.3,5.124,4.571,50,1.646,1
牛逼,2,278,5.9,4.174,4.366,50,1.614,1
牛逼,2,634,4.3,3.3,3.218,50,1.61,1
卧槽,2,273,6.7,3.988,4.1,50,0.728,1
nb,2,116,4.4,2.65,2.749,50,0.58,1
李哥,2,376,4.8,4.946,4.418,50,0.473,-1
蕾姆,2,210,5.2,3.314,3.344,50,0.457,1
优秀,2,742,4.1,2.231,2.32,50,0.454,0
牛逼,2,199,6.7,2.339,2.382,50,0.415,1
泪目,2,147,4.3,4.023,3.276,50,0.403,1
吐痰,2,92,9.6,2.305,2.244,50,0.358,1
探险,2,106,9.9,2.109,2.231,50,0.317,0
nb,2,109,4.4,2.904,2.801,50,0.295,1
牛逼,2,131,6.9,3.575,3.659,50,0.285,1
牛逼,2,87,6.2,2.756,2.578,50,0.272,1
牛逼,2,77,6.6,2.086,2.246,50,0.202,1
专业,2,360,6,4.719,4.041,50,0.183,0
流弊,2,83,7.1,2.27,2.255,50,0.138,1
培根,2,511,5.3,4.114,3.695,49,0.074,1
上香,2,1276,7.2,3.562,3.54,48,6.992,1
泪目,2,4208,4.5,4.17,4.718,48,5.521,1
牛逼,2,1694,5.1,3.098,4.659,48,2.069,1
泪目,2,291,4.1,5.42,5.511,48,0.731,1
厉害,2,212,4.8,3.784,3.054,48,0.576,0
冲冲,2,369,4,3.313,2.113,48,0.179,1
弓呆,2,435,5.9,2.605,3.364,47,1.396,1
开炮,2,1525,4.2,4.67,4.581,46,5.348,-1
0,2,649,6.4,2.581,2.877,46,2.692,-1
尻比,2,141,6.7,2.967,2.981,46,0.269,-1
泪目,2,281,4.9,3.905,4.196,45,1.661,1
没开挂,3,614,4.4,5.042,4.739,44,5.143,-1
泪目,2,1085,5.7,5.444,5.446,42,4.638,1
政哥,2,551,4.1,5.262,4.374,40,1.746,1
鬼切,2,2257,4.9,4.22,4.725,39,10.777,1
害怕,2,437,5.4,4.925,4.975,39,4.5,0
三连,2,568,5.8,5.758,5.522,39,2.336,1
夜色,2,139,5.9,4.243,4.25,37,0.506,0
泪目,2,517,5.4,4.515,4.845,36,2.799,1
再来亿遍,4,92,5.2,2.385,2.342,36,0.318,1
下流,2,66,6.6,2.685,2.558,36,0.176,-1
娘的,2,294,4.1,2.03,2.572,35,1.247,-1
恶心,2,138,6,2.147,2.029,35,0.193,0
快跑,2,178,5.5,2.412,2.221,34,0.421,1
卢本伟,3,22295,4.6,2.66,2.235,33,89.825,1
杀老师,3,700,4.1,5.689,3.722,33,5.509,1
洪世贤,3,261,4.3,5.021,5.321,33,2.083,1
奥利给,3,450,4.5,4.581,4.765,33,1.773,1
爷青回,3,163,4.6,4.943,4.464,33,1.617,1
正能量,3,2172,4.2,5.15,4.947,33,1.332,1
平角裤,3,206,5.6,2.567,2.604,33,1.008,1
van,3,297,4.1,4.407,4.56,33,0.789,1
鸡瘟,2,138,5.9,3.286,3.475,33,0.544,-1
奥利给,3,145,4.6,4.625,4.765,33,0.414,1
正能量,3,157,6,2.503,2.588,33,0.369,1
撸本萎,3,57,8.6,2.396,2.084,33,0.208,-1
艾维奇,3,62,7.7,2.788,2.726,33,0.116,1
牛逼,2,206,6.1,3.239,3.301,32,0.915,1
彼岸花,3,203,6.1,3.801,4.385,32,0.843,1
喵帕斯,3,230,5.5,3.663,3.908,32,0.672,1
不敢,2,115,4.4,3.169,3.267,32,0.358,0
nb,2,491,4.9,4.395,4.267,31,1.092,1
nb,2,148,4.6,3.943,3.915,31,0.821,1
nb,2,98,4.6,3.128,3.044,31,0.58,1
阿巴,2,480,5.3,2.682,2.54,31,0.204,-1
般配,2,57,7.1,2.88,2.998,31,0.037,1
nb,2,273,5,3.152,2.755,30,0.951,1
考古,2,69,5.8,2.259,3.715,30,0.205,0
卧槽,2,50,7,2.691,2.626,30,0.044,1
mmp,3,55,5.3,2.793,2.83,30,0.007,1
牛逼,2,169,5.6,4.478,4.443,29,1.018,1
哭了,2,339,4,4.468,5.32,29,0.896,-1
害怕,2,325,6.6,4.371,4.807,29,0.425,0
鬼畜,2,90,6,4.455,4.182,29,0.416,1
牛逼,2,159,6.3,2.94,2.732,29,0.299,1
好听,2,820,5.1,5.82,5.451,28,5.254,0
泪目,2,286,4,3.317,3.759,28,1.385,1
听我的,3,82,4.5,2.409,2.941,28,0.731,-1
升华,2,203,5.7,4.591,2.633,28,0.616,0
盖亚,2,489,5.7,4.781,4.174,28,0.321,1
靠边,2,82,5.8,2.194,2.293,27,1.7,-1
大人,2,267,4.3,2.626,5.208,27,0.992,0
自由,2,66,7.1,3.482,3.276,27,0.171,0
周姐,2,107,7.2,4.319,4.34,27,0.118,1
考古,2,50,7.5,2.081,2.701,27,0.114,0
圣诞,2,1196,5.9,4.479,2.601,26,10.857,1
魔鬼,2,452,4.4,5.063,5.235,26,3.83,0
来了,2,669,4.1,4.189,5.883,26,2.322,-1
nb,2,290,4.3,2.384,2.902,26,0.665,1
牛逼,2,103,5,4.076,4.276,26,0.561,1
带劲,2,81,5.7,2.939,3.873,26,0.233,1
存活,2,667,4.7,4.05,4.725,26,0.126,1
火钳刘明,4,2582,4.9,4.673,4.217,25,12.309,1
火钳刘明,4,1026,4.8,5.728,5.582,25,8.281,1
全体起立,4,1873,7.1,2.211,2.109,25,7.633,1
全体起立,4,5590,4.1,3.949,3.736,25,6.298,1
火钳刘明,4,925,4.5,5.543,5.516,25,4.623,1
灵堂歌姬,4,500,5.3,4.206,5.298,25,4.202,1
rip,3,642,4.8,2.77,2.676,25,3.255,1
动次打次,4,442,5.9,3.591,3.937,25,2.967,1
你币有了,4,616,4.2,5.845,6.182,25,2.65,-1
作业,2,259,5,4.743,5.461,25,2.082,0
文艺复兴,4,537,6,4.78,4.933,25,1.816,0
大力,2,221,4.5,4.788,3.58,25,1.796,0
开花,2,396,4.2,4.609,4.665,25,1.43,0
哈哈哈,3,962,4.1,2.049,2.04,25,1.257,-1
前方高能,4,454,5.2,5.255,4.822,25,1.172,1
miku,4,588,5.3,3.45,3.413,25,1.171,-1
you,3,225,6.1,2.734,3.034,25,1,-1
前方高能,4,265,6,4.291,4.081,25,0.986,1
火钳刘明,4,92,5.1,2.92,2.989,25,0.898,1
鸡你太美,4,187,4.4,3.022,3.143,25,0.853,1
全体起立,4,1634,4.4,3.867,3.109,25,0.816,1
哈哈,2,515,4.3,2.079,2.007,25,0.738,0
鸡你太美,4,200,5.4,3.324,3.518,25,0.608,1
牛逼,2,428,5.7,2.484,3.78,25,0.567,1
牛逼牛逼,4,300,4.7,2.681,2.753,25,0.442,-1
前方核能,4,135,5.2,4.443,4.464,25,0.34,1
前方高能,4,113,5.6,3.675,3.535,25,0.324,1
财大nb,4,151,5.9,4.669,4.583,25,0.215,1
一路走好,4,71,5.1,3.446,3.215,25,0.213,1
开炮开炮,4,209,4.8,2.048,2.114,25,0.211,-1
skr,3,68,5.9,2.702,2.311,25,0.137,1
泪目泪目,4,308,4.4,2.192,2.111,25,0.039,-1
完结撒花,4,55,5.7,2.959,2.836,25,0.009,1
丢雷,2,560,6.5,4.176,4.524,24,4.33,-1
sk,2,498,6.9,4.304,2.83,24,2.767,1
蕉迟但到,4,528,5,4.494,4.422,24,1.529,1
上头,2,147,4.7,4.525,3.641,24,1.247,0
太宰,2,184,4.6,3.458,3.014,24,0.83,-1
吃掉,2,131,4.2,3.646,3.518,24,0.625,0
花花,2,109,5.2,2.95,2.942,24,0.433,-1
文艺复兴,4,93,6.8,3.902,3.967,24,0.332,0
蕾姆,2,283,5.9,4.606,4.918,24,0.283,1
泪目泪目,4,1098,4.5,2.52,2.815,24,0.169,-1
厉害厉害,4,92,4.8,2.246,2.262,24,0.134,1
肖战,2,316,5.9,3.614,2.338,23,3.064,1
白嫖失败,4,664,5.4,6.06,6.234,23,2.949,1
牛逼,2,326,4.3,5.084,5.534,23,1.227,1
nb,2,160,4.2,4.493,4.586,23,0.912,1
开炮,2,56,4.9,3.807,3.601,23,0.42,-1
是他,2,110,4.2,4.346,3.798,23,0.343,-1
