W,Frequence,Mut,Freedom_L,Freedom_R,mark
哈哈哈哈哈哈,3067716,14.7,5.893,6.65,0
一卷一卷,616029,12.8,4.182,3.885,0
糊糊糊糊,507089,11.9,3.685,2.907,0
哈哈哈哈哈哈哈,411893,12.7,5.916,6.764,0
自由自由,369388,13.8,5.623,5.95,0
火钳刘明,304115,14.9,6.27,6.73,1
乌拉乌拉,245561,14.3,5.846,6.447,0
欧拉欧拉,201150,12,4.703,4.265,0
牛逼,180498,5.8,2.592,3.218,1
进入直播间,172694,12.6,8.061,7.713,1
飞飞飞飞,161725,12,4.76,5.496,0
护眼护眼,152186,16,3.937,4.025,0
害怕害怕,132291,12.3,5.694,6.258,0
真香真香,128815,8.3,5.406,5.804,0
开炮开炮,126299,11.7,6.016,5.223,0
奥利给,107040,14.3,2.161,4.32,1
嘟嘟嘟嘟,96261,12.3,3.368,2.954,0
下次一定,96120,11.9,5.774,6.64,1
卧槽卧槽,92800,14.9,4.627,4.685,0
哈哈哈哈哈,91660,11.2,6.202,6.968,0
嘿嘿嘿嘿,88821,13.9,5.744,6.619,0
前方高能,85358,11.9,6.287,6.896,1
草草草草,76048,8.1,3.535,3.054,0
全体起立,68416,14.4,4.884,5.257,1
再来,68229,5.2,5.733,4.555,0
鸡鸡鸡鸡,66558,6.9,3.196,2.74,0
泪目泪目,66044,11.2,3.147,4.647,0
了哈哈哈哈,64193,5.6,5.259,2.956,0
坚强坚强,60915,14.8,4.811,5.518,0
了哈哈哈,59792,5.6,5.312,6.711,0
专业专业,56508,19.3,5.25,6.213,0
彳亍彳亍,52995,15.5,5.466,5.878,0
辛苦了,46035,17.4,3.819,5.16,0
好开心好开心,42207,6.5,3.811,3.032,0
啊哈哈哈哈,41952,6.2,5.224,5.636,0
武汉加油,40465,17.8,5.138,6.866,0
红红火火恍恍惚惚,40023,9.9,5.14,6.957,1
把哲学,36616,11,4.726,2.08,0
要素过多,36472,12.7,5.973,6.269,1
啊哈哈哈,34458,6,5.328,5.741,0
百万填词,31806,12.2,5.473,6.803,1
哈哈哈我,31402,10.1,5.381,5.305,0
永久反弹,30173,11.7,5.311,5.639,1
俺也,29822,6.2,4.672,3.33,0
反弹反弹,29511,12.6,5.49,5.907,0
中华人民共和国万岁,29505,12.7,5.379,6.374,0
注入灵魂,29453,14.5,6,6.992,1
建国同志,29124,15.5,2.497,5.569,1
高能前方,29016,8.6,3.832,4.816,1
欢迎回来,28515,19.2,6.177,6.977,0
上香,25814,5.9,5.333,5.085,1
吸吸吸吸,24856,12.1,3.868,2.696,0
加油武汉,24645,13.4,4.805,3.175,0
兄弟们,24192,15.4,2.214,3.835,1
高级弹幕,23722,11,6.179,6.56,1
白嫖,23330,7.6,4.173,4.464,1
的女人,22543,5.2,6.309,4.906,0
每天一遍,21565,10.9,6.012,6.688,1
开头见,21227,9,4.724,5.928,1
哈哈哈啊,21134,9.7,3.331,5.092,0
哦哦哦哦哦哦,20416,6.3,3.133,2.283,0
前来助阵,20334,5.7,6.001,6.011,0
回来了,20206,7.7,2.456,6.592,0
蔡徐坤,19928,10.9,5.695,5.388,1
厉害了,19713,15.9,4.568,6.093,0
泪目泪,19705,10,2.595,4.018,0
加油加油,19188,13.1,5.135,5.588,0
玩家前来,19089,9.4,5.614,4.177,0
上头了,19006,7,3.986,6.561,0
弹幕护体,18810,13.7,5.966,6.585,1
啪啪啪啪,18587,12,3.668,2.938,0
律师函警告,17984,15.3,5.85,6.212,1
前来考古,17432,5.5,6.018,6.784,1
万岁中华人民共和国,17375,9.9,4.437,3.254,0
多多多多,17359,6.9,2.209,2.453,0
冲冲冲冲,17292,8.6,3.686,3.284,0
反弹永久,17284,12.1,4.71,3.561,1
B站,17239,6.8,5.66,5.495,0
前方核能,17122,10.3,5.993,6.491,1
呵呵呵呵,16908,10.3,3.613,3.467,0
b站,16310,6.8,5.494,5.769,1
咕咕咕咕,16097,14.7,3.685,2.653,0
保佑我,16052,12.9,3.808,3.978,0
土块土块,15453,13.5,5.038,4.757,0
花花花花,15387,10.1,3.15,2.882,0
祖传开头,14860,13.6,5.6,6.366,1
混入其中,14852,11.6,5.889,6.445,0
是什么,14778,9.1,4.129,5.625,0
高能预警,14746,8,5.694,6.667,1
喜欢的,14595,17,2.984,2.967,0
卢本伟nb,14379,9.2,4.967,5.444,0
开幕雷击,14378,11.7,5.934,6.644,1
开口跪,14265,9.6,5.627,5.668,0
哈哈哈好,14216,9.3,4.881,5.642,0
听到了,14166,6.2,3.089,4.021,0
有何用,14024,8.7,3.625,7.05,0
嘎嘎嘎嘎,13941,10.6,3.924,2.939,0
up主,13796,11.1,5.67,3.039,1
钉钉,13719,7.3,3.613,3.264,1
