Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
啦啦,2,20,6.1,2.071,2.171,0.06122449,0.002,1
开炮,2,1525,4.2,4.67,4.581,1,5.348,1
嘿嘿,2,34,7.5,2.062,2.202,0.142857143,0.003,0
啧啧,2,25,7.8,2.22,2.14,0.06122449,0.003,1
流量,2,22,6.8,3.477,3.732,0.020408163,0.003,0
dj,2,20,4.8,3.822,3.646,0.040816327,0.004,1
开炮,2,656,4.5,4.815,4.869,1,4.333,1
密码正确,4,296,5.8,3.737,4.107,1,2.551,-1
刚刚,2,16,6.7,3.875,3.703,0.020408163,0.004,0
吓死,2,16,4.4,2.217,2.147,0.020408163,0.004,1
跟着,2,16,4.3,3.75,2.483,0.020408163,0.004,0
东西,2,16,7.4,3.156,3.75,0.020408163,0.004,0
字幕,2,16,5.1,3.703,2.522,0.020408163,0.004,1
音乐,2,16,7.1,3.375,3.578,0.020408163,0.004,0
贝爷,2,16,6.6,3.149,2.092,0.020408163,0.004,1
友情,2,16,6,3.024,2.008,0.020408163,0.004,1
初音,2,1051,4.8,3.194,2.883,1,1.718,1
火钳刘明,4,16,6.5,3.703,4,0.020408163,0.004,1
伊丽莎白,4,16,7.1,3.75,2.177,0.020408163,0.004,1
靠边,2,82,5.8,2.194,2.293,1,1.7,-1
妈妈,2,19,5.9,3.787,3.471,0.040816327,0.005,0
今天,2,21,5.9,3.44,3.463,0.020408163,0.005,0
你币有了,4,207,4.5,4.17,3.851,1,1.578,1
笑死,2,19,4.7,3.642,3.432,0.020408163,0.005,1
魔鬼,2,19,4.5,2.245,3.176,0.020408163,0.005,0
以为,2,19,4.9,2.715,3.471,0.020408163,0.005,0
川宝,2,205,4.5,3.859,4.638,1,1.263,1
尼玛,2,19,7.2,3.682,4.248,0.020408163,0.005,1
好像,2,18,4.6,3.414,3.461,0.020408163,0.005,0
小孩,2,18,4.9,3.837,3.906,0.020408163,0.005,0
哈哈哈,3,962,4.1,2.049,2.04,1,1.257,-1
口区,2,304,4.6,4.885,4.774,1,1.201,1
果然,2,17,5.4,4.087,3.22,0.020408163,0.005,0
鲁迅,2,17,7.3,3.007,2.44,0.020408163,0.005,0
无敌,2,17,6.2,3.97,3.052,0.020408163,0.005,1
朋友,2,17,6.5,2.822,3.007,0.020408163,0.005,0
再次,2,17,5.3,2.816,2.416,0.020408163,0.005,0
硬币,2,17,7.3,2.867,2.461,0.020408163,0.005,1
喜欢,2,17,6.1,3.852,3.735,0.020408163,0.005,0
诸葛,2,17,8.6,3.499,2.145,0.020408163,0.005,1
同志们,3,19,5.5,4.037,3.116,0.020408163,0.005,0
nb,2,491,4.9,4.395,4.267,1,1.092,1
意大利炮,4,18,7.1,3.572,4.059,0.020408163,0.005,1
奥义,2,103,5.7,4.118,4.002,1,1.086,1
混入其中,4,18,6.2,4.17,4.059,0.020408163,0.005,1
戈尔巴乔夫,5,19,6.8,3.637,2.641,0.020408163,0.005,1
you,3,225,6.1,2.734,3.034,1,1,-1
再见,2,26,4.7,4.258,3.994,0.06122449,0.006,0
草草,2,19,4.3,3.532,3.026,0.041666667,0.006,1
社会,2,24,6.6,2.867,3.601,0.040816327,0.006,0
听不见,3,114,5.3,4.616,5.423,1,0.981,-1
到底,2,23,5.1,3.234,3.882,0.020408163,0.006,0
列宁,2,22,7.1,3.664,2.856,0.020408163,0.006,0
全程,2,22,7,3.75,3.3,0.020408163,0.006,1
nb,2,273,5,3.152,2.755,1,0.951,1
英语,2,22,7.6,4.005,4.061,0.020408163,0.006,0
挺住,2,22,5.3,3.841,4.005,0.020408163,0.006,1
翻译,2,21,8.4,4.071,4.071,0.020408163,0.006,0
证明,2,21,7,2.429,2.481,0.020408163,0.006,0
建议,2,21,8.5,4.107,3.23,0.020408163,0.006,0
战斗,2,21,6.9,3.273,2.102,0.020408163,0.006,0
菏泽,2,97,6,4.537,3.878,1,0.922,1
中国,2,21,4,3.975,3.916,0.020408163,0.006,0
应该,2,21,8,4.297,3.44,0.020408163,0.006,0
玉米,2,20,8.1,3.722,3.884,0.020408163,0.006,0
秦始皇,3,23,7.8,4.056,2.272,0.020408163,0.006,0
陈独秀,3,23,7.5,3.812,2.501,0.020408163,0.006,0
见封滚,3,21,6.1,3.535,4.107,0.020408163,0.006,1
指挥部,3,20,7.8,3.522,3.646,0.020408163,0.006,0
德州,2,94,4.4,4.641,3.238,1,0.903,1
哭了,2,339,4,4.468,5.32,1,0.896,-1
丧心病狂,4,21,8.3,3.726,3.975,0.020408163,0.006,1
日照,2,92,5.7,4.911,2.793,1,0.883,0
冲冲,2,18,4.4,2.321,2.321,0.02,0.006,1
自由,2,37,6.9,3.747,2.827,0.244897959,0.007,0
nb,2,148,4.6,3.943,3.915,1,0.821,1
哀酱,2,53,4.7,4.383,4.43,1,0.818,1
挑战,2,27,6.9,2.605,2.723,0.020408163,0.007,0
mua,3,147,4.6,4.077,4.364,1,0.782,1
持久,2,25,4.8,3.303,3.863,0.020408163,0.007,0
无聊,2,25,5.8,3.719,3.924,0.020408163,0.007,0
听我的,3,82,4.5,2.409,2.941,1,0.731,-1
节奏,2,25,8.3,3.593,4.054,0.020408163,0.007,0
自带bgm,5,34,4.8,3.447,3.52,1,0.642,-1
即将,2,25,7.7,2.432,2.131,0.020408163,0.007,0
滑稽,2,24,8.6,4.304,4.502,0.020408163,0.007,0
好评,2,24,5,2.933,4.22,0.020408163,0.007,0
脑子,2,24,4.8,2.749,2.555,0.020408163,0.007,0
手机,2,24,6.2,4.105,4.22,0.020408163,0.007,1
nb,2,116,4.4,2.65,2.749,1,0.58,1
parn,4,44,4.1,2.36,2.292,1,0.553,-1
fuck,4,26,4.7,3.624,2.77,0.020408163,0.007,1
个小伙伴,4,26,4.5,3.094,3.84,0.020408163,0.007,1
nb,2,83,4.8,3.627,3.791,1,0.541,1
可带劲了,4,128,4.4,3.839,3.965,1,0.535,-1
花瓣澡,3,74,5.7,3.646,4.057,1,0.485,1
法克油,3,52,5.7,2.804,2.466,1,0.479,1
李哥,2,376,4.8,4.946,4.418,1,0.473,1
魔性,2,30,7.3,4.052,4.307,0.020408163,0.008,1
自己,2,30,6.9,4.415,4.348,0.020408163,0.008,0
飞机,2,29,6.8,2.802,4.487,0.020408163,0.008,0
带劲,2,29,6.1,4.142,4.021,0.020408163,0.008,1
老子,2,28,5.1,4.352,4.28,0.020408163,0.008,0
撑住,2,28,5,3.736,4.178,0.020408163,0.008,1
nb,2,74,5.5,3.698,4.128,1,0.462,1
太冲了,3,48,4,2.101,4.71,1,0.456,-1
卢本伟,3,28,6.4,4.151,2.867,0.020408163,0.008,1
择偶权,3,38,4.9,2.227,4.459,1,0.452,1
四年,2,38,4.8,3.642,2.506,1,0.452,-1
完结撒花,4,55,5.7,2.959,2.836,0.510204082,0.009,1
nb,2,35,5,3.2,4.093,1,0.441,1
嘿嘿,2,26,7.8,2.773,2.327,0.06,0.009,0
口也,2,122,5.1,3.38,3.298,1,0.432,1
继续,2,36,7.8,4.684,4.795,0.040816327,0.009,0
多少,2,35,5.9,2.479,3.071,0.020408163,0.009,0
莫名,2,34,7.5,4.852,3.179,0.020408163,0.009,1
浪费,2,32,8,4.226,2.637,0.020408163,0.009,0
觉得,2,31,5.7,2.051,3.34,0.020408163,0.009,0
66,2,123,4.1,2.462,2.364,1,0.432,-1
我们不一样,5,127,4.3,4.605,4.263,1,0.424,-1
开始,2,37,5.5,4.628,4.703,0.020408163,0.01,0
告诉,2,37,7.4,4.24,2.077,0.020408163,0.01,0
各位,2,37,7.4,4.354,4.54,0.020408163,0.01,0
克林,2,36,4.7,2.882,2.129,0.020408163,0.01,1
鬼见条,3,37,4.8,4.736,5.101,0.020408163,0.01,1
李云龙,3,35,7.4,3.928,2.014,0.020408163,0.01,1
好活,2,37,4.6,3.133,3.242,1,0.391,-1
厉害,2,19,7.3,3.426,2.394,0.04,0.011,0
没毛病,3,17,5.2,3.41,3.69,0.04,0.011,1
总统,2,42,7.6,3.422,4.434,0.020408163,0.011,0
高能,2,41,6,2.894,4.488,0.020408163,0.011,0
强壮,2,41,5.3,2.517,4.713,0.020408163,0.011,0
意思,2,40,6.7,2.896,4.822,0.020408163,0.011,0
抖腿,2,38,7.3,4.261,4.702,0.020408163,0.011,1
香蕉君,3,42,7,3.837,2.861,0.020408163,0.011,1
前面,2,16,4.3,3.203,2.647,0.02,0.011,0
卢孝子,3,16,4.5,3.078,3.875,0.02,0.011,1
五五开,3,16,5.2,3.024,3.453,0.02,0.011,1
我需要碰撞,5,105,4.2,2.728,2.696,1,0.386,-1
火云邪神,4,17,6.2,3.405,3.69,0.02,0.011,1
口区,2,263,4.8,4.016,4.404,1,0.383,1
比利,2,47,5.6,4.201,3.351,0.020408163,0.012,1
发现,2,42,5.3,4.243,4.46,0.020408163,0.012,0
666,3,97,4.5,2.476,2.404,1,0.378,-1
日本,2,17,4.2,3.499,2.94,0.02,0.012,0
周姐,2,17,7.9,3.528,3.97,0.02,0.012,1
以为,2,17,5.6,2.263,3.131,0.02,0.012,0
不简单,3,17,5.2,2.44,3.264,0.02,0.012,0
梦幻联动,4,17,7.3,3.287,3.808,0.02,0.012,1
安排,2,19,6.6,3.787,2.776,0.666666667,0.013,0
爱我苏联,4,56,5.6,2.106,2.309,1,0.355,-1
彳亍,2,25,8.7,3.423,3.423,0.08,0.013,1
好活,2,49,5,4.579,4.514,1,0.352,1
浦东公鸡,4,21,7,3.844,3.916,0.04,0.013,1
口也,2,99,5.7,3.349,3.082,1,0.335,1
威士忌,3,27,5.1,3.18,3.884,1,0.329,1
阵亡,2,48,7.5,3.771,4.526,0.020408163,0.013,1
咚咚锵,3,32,6.3,3.828,3.614,1,0.312,-1
看贱,2,28,5.2,3.182,3.522,1,0.306,1
离谱,2,19,8.2,2.695,3.892,0.02,0.013,1
笑死我了,4,28,4.4,2.522,2.127,1,0.301,1
流弊,2,19,8.3,3.577,4.143,0.02,0.013,1
华农,2,19,8.7,3.532,3.827,0.02,0.013,1
热血,2,19,8.1,3.366,3.287,0.02,0.013,0
晦气,2,18,7.7,3.642,3.614,0.02,0.013,1
最后,2,18,6.8,3.614,3.392,0.02,0.013,0
蔡徐坤,3,19,8.1,3.722,3.616,0.02,0.013,1
pdd,3,19,4.6,3.406,3.577,0.02,0.013,1
你再骂,3,19,5.2,3.366,3.426,0.02,0.013,1
站起来,3,18,5.5,2.725,2.663,0.02,0.013,0
卢姥爷,3,18,4.7,3.948,3.614,0.02,0.013,1
好活,2,32,6.3,3.926,3.014,1,0.296,1
nb,2,109,4.4,2.904,2.801,1,0.295,1
嘿嘿,2,18,7.8,2.864,3.308,0.020833333,0.014,0
承包,2,52,7.3,4.796,3.193,0.020408163,0.014,0
视频,2,52,7.3,3.467,5.171,0.020408163,0.014,1
宝批龙,3,60,5.7,4.326,5.074,1,0.29,1
圣安地列斯,5,22,5.5,3.789,3.914,1,0.278,1
鬼看条,3,51,4.9,4.903,5.079,0.020408163,0.014,1
不会,2,27,4.7,3.657,2.558,0.02,0.014,0
登场,2,20,6.4,2.784,3.822,0.02,0.014,1
五年,2,37,5.1,3.488,4.021,1,0.269,-1
应该,2,20,8.3,3.422,3.022,0.02,0.014,0
名场面,3,20,6.7,3.346,3.822,0.02,0.014,1
下次一定,4,20,6.1,3.022,3.822,0.02,0.014,1
