Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
火钳刘明,4,131,4.3,5.193,5.324,0.02,1,1
祖安,2,504,4.7,6.297,4.782,0.02,1,1
弹幕,2,4010,4.7,3.206,6.276,0.02,1,1
鬼畜,2,813,5.4,2.815,3.338,0.02,1,1
up,2,312,4.7,5.917,3.161,0.02,0.981954887,1
卢本伟,3,245,4.8,5.142,4.635,0.02,0.964573269,1
山东,2,242,5.2,6.091,3.438,0.02,0.931726908,0
出生,2,91,4.5,3.331,2.863,0.02,0.797441365,0
卢姥爷,3,162,4.8,5.305,2.771,0.02,0.716586151,1
那个男人,4,489,4.9,5.621,5.093,0.02,0.663801653,1
硬币,2,195,5.4,2.973,3.063,0.02,0.613533835,1
百万填词,4,74,4.7,4.897,5.135,0.02,0.565415245,1
葛叔,2,345,6.3,4.324,3.296,0.02,0.558480794,1
这个,2,255,4.3,3.049,2.472,0.02,0.548914977,0
新世界,3,168,5.2,2.524,5.318,0.02,0.527819549,1
前方,2,435,5.6,4.781,2.006,0.02,0.468429752,0
进入直播间,5,235,5.3,5.335,6.077,0.02,0.467149758,1
卢老爷,3,111,4.8,4.691,2.406,0.02,0.451288245,1
爷青回,3,87,5.1,3.431,3.435,0.02,0.445528455,1
春晚,2,50,5.3,3.706,5.014,0.02,0.42217484,1
填词,2,231,6.7,3.828,6.025,0.02,0.390591282,1
白嫖失败,4,76,6.2,3.646,3.963,0.02,0.390243902,1
b站,2,255,5.6,4.711,2.676,0.02,0.387138541,1
电竞,2,87,6.6,3.99,2.394,0.02,0.380434783,1
李云龙,3,192,5,4.24,5.461,0.02,0.379710145,1
张三,2,51,5,5.062,5.064,0.02,0.374288965,1
卢本伟,3,183,5.1,5.869,5.036,0.02,0.368907862,1
填词,2,266,6.3,3.392,6,0.02,0.363305785,1
卢本伟,3,1596,5.4,5.143,2.248,0.02,0.36249603,1
中国boy,5,114,5.6,5.337,3.991,0.02,0.357894737,1
笑死,2,89,5.5,4.785,2.728,0.02,0.357429719,1
时代,2,264,6.2,2.969,5.478,0.02,0.35107438,0
倍速,2,108,4.3,2.23,5.145,0.02,0.336842105,1
二倍,2,188,5.1,5.729,2.353,0.02,0.330319596,1
回来,2,75,4.4,2.559,4.407,0.02,0.327294686,0
还有,2,62,4.4,3.956,2.387,0.02,0.318699187,0
什么,2,79,5.4,3.723,5.292,0.02,0.317269076,0
联盟,2,72,6.8,2.823,2.291,0.02,0.314009662,0
首页通知书,5,41,5.4,4.434,4.715,0.02,0.312855518,1
百万填词,4,61,6.2,2.775,3.774,0.02,0.312195122,1
什么,2,99,5.7,3.684,5.442,0.02,0.311278195,0
什么,2,185,5.6,4.06,6.109,0.02,0.30988347,0
姨妈,2,75,6.6,4.129,4.009,0.02,0.297188755,1
音乐区,3,172,5,4.062,4.893,0.02,0.29477773,1
你们,2,174,4.5,3.779,3.648,0.02,0.29305136,0
这个,2,73,4.2,5.166,5.052,0.02,0.289156627,0
没有,2,56,4.2,4.631,5.352,0.02,0.287804878,0
猩猩,2,92,4.9,2.352,5.462,0.02,0.285714286,1
bgm,3,91,4.7,4.89,4.263,0.02,0.285714286,1
就是,2,64,4.4,2.47,2.922,0.02,0.283011272,0
评委,2,69,6.6,5.328,4.924,0.02,0.277108434,1
电话,2,634,5.8,3.399,3.267,0.02,0.276756962,0
空气,2,202,5.7,5.788,2.92,0.02,0.274710744,0
未来,2,201,5.5,2.018,4.299,0.02,0.274061286,0
进入直播间,5,85,6.1,4.784,5.248,0.02,0.267669173,1
百万,2,158,6.3,5.514,2.351,0.02,0.267155805,0
黑暗,2,195,6.5,5.24,2.193,0.02,0.26214876,0
开头见,3,147,5.5,4.62,4.797,0.02,0.259671993,1
起来,2,64,4.1,3.093,2.798,0.02,0.257028112,0
当年,2,50,5.8,2.665,3.569,0.02,0.256910569,0
好评,2,80,4.4,4.096,4.144,0.02,0.25112782,0
弹幕,2,56,6.4,4.239,4.295,0.02,0.247584541,1
苏卡不列,4,123,5.6,5.339,4.992,0.02,0.244605475,1
这个,2,34,4.9,2.574,2.375,0.02,0.244596132,0
回来,2,177,4.6,3.348,3.376,0.02,0.23768595,0
喜欢,2,27,5.8,4.18,2.162,0.02,0.236673774,0
b站,2,76,4.5,3.719,5.117,0.02,0.236090226,1
我们,2,48,4.1,4.548,4.318,0.02,0.235772358,0
开口跪,3,287,4.8,5.919,5.652,0.02,0.232244973,1
