,W,Frequence,Mut,Freedom_L,Freedom_R,mark
0,00后,1445,8.0,4.678,4.3,0
1,15倍食用,331,13.5,2.845,3.078,0
2,15倍新世界,1159,14.7,4.151,4.834,0
3,200万助攻,283,13.6,3.091,3.201,0
4,2018年,378,5.1,4.085,4.218,0
5,2019年,645,5.6,4.317,3.988,0
6,2020年,2678,7.1,4.744,4.036,0
7,2倍,4895,6.5,5.169,5.219,0
8,2倍速,3078,6.0,4.777,5.003,0
9,4小时前,276,5.4,3.318,3.705,0
10,90后,294,6.5,3.985,3.146,0
11,ad现状,715,6.1,4.969,5.937,0
12,ag超玩会,761,6.7,3.696,3.661,0
13,av画质,854,6.7,4.911,5.003,0
14,bilibili干杯,1466,5.7,4.611,4.668,0
15,b叔,256,5.5,4.209,4.094,0
16,b数,410,5.8,2.184,2.049,0
17,b战,550,6.0,4.585,3.119,0
18,b站,28016,6.9,5.469,5.81,0
19,b站弹幕,312,7.4,4.323,4.628,0
20,b站方文山,2120,7.4,4.03,4.906,0
21,c位,1179,7.5,5.157,4.578,0
22,c位出道,282,8.7,3.63,4.265,0
23,c语言,299,7.1,4.19,4.559,0
24,dio哒,461,6.7,2.666,4.923,0
25,dio爷,401,6.6,4.441,3.775,0
26,d区,392,5.5,3.182,2.481,0
27,e闪,526,5.6,5.393,4.348,0
28,e往无前,370,6.4,4.018,4.229,0
29,fa乐器,540,6.4,3.297,4.097,0
30,giao哥,1375,8.3,2.965,3.913,0
31,g胖,357,7.9,3.902,3.177,0
32,id好评,319,6.4,4.311,5.073,0
33,id瞩目,385,6.6,4.997,5.162,0
34,inb哥,314,6.3,4.879,4.134,0
35,jojo天下第一,291,7.9,3.952,4.614,0
36,jo厨,1236,9.4,4.78,3.676,0
37,jo护车,292,7.9,3.511,4.725,0
38,jo太郎,435,8.3,4.48,5.02,0
39,k头,518,6.5,5.027,4.743,0
40,lei了,709,6.7,2.355,5.137,0
41,lol手游,283,7.2,4.709,4.82,0
42,lol玩家,577,7.9,3.952,4.152,0
43,mc好评,327,6.6,3.695,3.538,0
44,n刷,579,6.3,3.728,3.413,0
45,p图,1470,7.3,4.362,3.982,0
46,q闪,290,5.0,5.004,4.339,0
47,r闪,664,6.9,5.125,4.612,0
48,san值,265,5.2,3.948,3.567,0
49,shy爹,524,7.6,5.106,4.918,0
50,shy哥,4648,9.8,5.964,4.837,0
51,s赛,899,7.5,5.017,4.533,0
52,up猪,759,7.7,4.351,4.005,0
53,up主,17315,10.8,5.573,3.258,0
54,van强哥,3713,8.1,3.538,5.459,0
55,w闪,315,5.8,4.785,4.099,0
56,阿尔托莉雅,472,6.8,4.123,3.175,0
57,阿卡丽,3666,5.7,3.497,4.811,0
58,阿婆克烈,1238,9.6,3.845,3.726,0
59,阿婆主,2119,10.1,4.702,2.691,0
60,哎呦,1892,6.9,4.974,3.131,0
61,艾卡西亚,477,6.9,4.646,3.699,0
62,艾伦沃克,1109,12.2,2.878,2.005,0
63,艾玛真香,466,9.4,2.868,2.587,0
64,艾米莉亚,1275,8.3,2.108,2.503,0
65,艾欧尼亚,5004,9.9,5.1,5.422,0
66,爱蜜莉雅,2422,6.8,3.585,3.042,0
67,爱情公寓,727,5.8,4.567,4.506,0
68,安塞腰鼓,4017,11.4,3.95,4.247,0
69,安室透,279,10.5,4.459,3.396,0
70,俺也一样,21339,8.0,5.114,3.045,0
71,岸边露伴,548,12.8,3.366,4.033,0
72,按e,464,5.4,5.014,3.199,0
73,按f,463,7.4,4.545,3.478,0
74,暗杀名单,260,7.2,3.034,4.167,0
75,凹凸世界,1399,12.8,4.959,4.834,0
76,敖厂长,450,11.8,4.431,4.722,0
77,嗷呜,327,6.5,3.275,3.653,0
78,奥观海,748,11.6,2.399,3.041,0
79,奥里给,1213,6.7,2.208,3.945,0
80,奥利给,56662,13.0,2.324,4.478,1
81,八重樱,436,8.9,4.629,3.276,0
82,粑粑,1524,9.3,3.718,5.181,0
83,把我灌醉,8186,6.5,2.394,3.875,0
84,掰弯,264,8.8,3.458,3.003,0
85,白夫人,338,6.4,2.963,4.181,0
86,白嫖,42664,6.9,4.594,4.618,0
87,白嫖成功,2871,7.1,3.163,3.872,0
88,白嫖快乐,264,6.9,2.544,2.977,0
89,白嫖失败,18557,7.1,3.602,5.824,0
90,白色相簿,684,5.7,2.228,2.168,0
91,百鬼夜行,335,7.0,3.231,3.961,0
92,百合子,257,11.0,2.855,3.4,0
93,百里守约,3148,9.2,5.404,5.751,0
94,百里甩狙,270,9.7,2.12,2.332,0
95,百里玄策,1036,8.1,4.905,5.022,0
96,百万调音,1972,8.9,3.752,5.048,0
97,百万调音师,3995,9.7,4.96,5.598,0
98,百万合影,1038,8.3,4.262,4.383,0
99,百万贺电,675,7.9,4.222,4.279,0
100,百万特效,752,8.0,3.819,4.306,0
101,百万填词,16091,11.0,5.032,6.121,0
102,百万助攻,4637,9.8,5.257,5.803,0
103,败者食尘,2804,10.0,4.955,5.574,0
104,拜年祭,453,7.0,4.372,3.832,0
105,搬砖,307,11.0,3.624,3.417,0
106,坂本大佬,437,10.8,2.875,4.704,0
107,版本答案,262,6.8,4.49,3.971,0
108,榜一,275,6.1,3.068,3.617,0
109,宝藏up,339,9.1,3.422,3.375,0
110,保护我方,1428,9.4,4.208,2.983,0
111,报复社会,708,11.4,3.896,3.921,0
112,豹女,576,7.8,4.012,5.273,0
113,暴露年龄,384,11.6,4.773,2.646,0
114,爆丸小子,343,5.7,3.351,3.53,0
115,倍速看,257,6.2,2.148,3.169,0
116,被封,1328,5.6,4.751,2.565,0
117,被水淹没,289,6.5,3.391,2.102,0
118,被削,1137,5.2,4.794,2.185,0
119,本命守约,289,7.9,4.817,3.741,0
120,本命英雄,367,8.1,3.299,5.643,0
121,本色出演,3483,9.7,5.322,5.875,0
122,比尔吉沃特,943,7.7,5.184,5.097,0
123,比利王,420,5.7,3.457,2.374,0
124,币比赞多,568,8.1,2.07,3.126,0
125,必须三连,1340,10.7,3.925,4.066,0
126,毕生所学,279,9.6,2.767,3.936,0
127,哔哩哔哩,8234,13.3,5.391,5.364,0
128,碧蓝之海,812,9.0,4.738,4.777,0
129,蝙蝠时代,1660,19.2,4.689,2.585,0
130,变声器,564,6.8,4.137,4.307,0
131,变形兄弟,359,8.6,3.243,2.873,0
132,标题党,794,12.7,5.294,4.638,0
133,标准结局,4625,14.1,5.239,6.249,0
134,标准开头,2562,13.5,4.6,5.557,0
135,表白墙,707,6.8,3.317,3.669,0
136,表情包,1582,11.1,4.24,3.923,0
137,憋笑,929,5.2,3.217,4.482,0
138,别尬黑,262,5.1,3.46,3.598,0
139,别念了,1535,7.8,2.33,5.51,0
140,别侮辱,307,11.3,3.345,2.777,0
141,冰菓,2396,9.8,2.634,3.396,0
142,病名为爱,300,5.8,3.139,3.588,0
143,波澜哥,2565,11.5,4.907,4.192,0
144,波鲁那雷夫,456,10.6,3.511,4.685,0
145,波罗斯,455,8.4,4.663,3.853,0
146,播放量,5011,10.8,2.806,6.034,0
147,不甘心,463,7.0,3.285,3.921,0
148,不悔入二次元,459,7.1,2.128,4.274,0
149,不简单,1753,5.6,3.013,5.257,0
150,不讲武德,1570,5.4,2.955,4.05,0
151,不容易,1999,6.6,4.479,3.709,0
152,不投也罢,323,5.4,2.001,3.465,0
153,不信谣不传谣,511,11.7,2.522,4.438,0
154,不削能玩,751,7.1,4.228,4.938,0
155,裁决之地,280,15.8,3.905,4.528,0
156,踩点好评,699,6.1,4.323,4.933,0
157,踩点狂魔,675,6.1,4.082,4.473,0
158,菜虚鲲,278,7.6,3.744,4.035,0
159,蔡徐坤,11940,9.4,5.504,5.312,0
160,参见逼王,392,6.1,4.302,4.776,0
161,参见殿下,502,6.4,2.691,2.419,0
162,参见公主殿下,2160,15.6,4.387,4.888,0
163,参见狼王,681,6.7,3.09,2.906,0
164,参见猫王,1668,7.6,3.459,3.964,0
165,参上,2015,6.3,2.565,2.5,0
166,喰种,1635,9.0,5.361,5.984,0
167,仓鼠狗贼,731,12.9,3.374,3.2,0
168,蹭热度,363,7.7,4.681,4.29,0
169,查克拉,508,9.7,2.362,5.076,0
170,拆弹专家,348,7.2,2.47,2.868,0
171,馋她身子,440,10.4,2.266,2.265,0
172,铲车人,306,8.6,4.354,3.093,0
173,钞能力,1673,6.7,4.153,5.268,0
174,超级兵,1283,5.9,2.928,5.027,0
175,超级反弹,1031,5.7,2.454,2.957,0
176,超级加倍,1261,5.9,4.232,4.794,0
177,超兽武装,356,6.4,3.951,4.673,0
178,超威蓝猫,834,9.0,2.892,4.631,0
179,超喜欢,2422,8.5,3.658,4.521,0
180,朝花夕誓,274,8.1,2.673,4.262,0
181,炒饭真香,286,8.6,2.515,3.076,0
182,彻底疯狂,2829,16.8,2.702,3.167,0
183,臣卜木曹,737,12.0,4.92,4.376,0
184,臣附议,781,12.9,3.307,4.588,0
185,陈sir,1000,8.6,4.137,4.989,0
186,陈刀仔,326,6.3,2.747,2.465,0
187,成功暂停,990,10.4,3.332,2.902,0
