W,Frequence,Mut,Freedom_L,Freedom_R,mark
00后,1445,8,4.678,4.3,0
15倍食用,331,13.5,2.845,3.078,0
15倍新世界,1159,14.7,4.151,4.834,0
200万助攻,283,13.6,3.091,3.201,0
2018年,378,5.1,4.085,4.218,0
2019年,645,5.6,4.317,3.988,0
2020年,2678,7.1,4.744,4.036,0
2倍,4895,6.5,5.169,5.219,0
2倍速,3078,6,4.777,5.003,0
4小时前,276,5.4,3.318,3.705,0
90后,294,6.5,3.985,3.146,1
ad现状,715,6.1,4.969,5.937,0
ag超玩会,761,6.7,3.696,3.661,1
av画质,854,6.7,4.911,5.003,1
bilibili干杯,1466,5.7,4.611,4.668,1
b叔,256,5.5,4.209,4.094,1
b数,410,5.8,2.184,2.049,1
b战,550,6,4.585,3.119,1
b站,28016,6.9,5.469,5.81,1
b站弹幕,312,7.4,4.323,4.628,0
b站方文山,2120,7.4,4.03,4.906,0
c位,1179,7.5,5.157,4.578,1
c位出道,282,8.7,3.63,4.265,0
c语言,299,7.1,4.19,4.559,1
dio哒,461,6.7,2.666,4.923,1
dio爷,401,6.6,4.441,3.775,1
d区,392,5.5,3.182,2.481,1
e闪,526,5.6,5.393,4.348,1
e往无前,370,6.4,4.018,4.229,1
fa乐器,540,6.4,3.297,4.097,1
giao哥,1375,8.3,2.965,3.913,1
g胖,357,7.9,3.902,3.177,1
id好评,319,6.4,4.311,5.073,0
id瞩目,385,6.6,4.997,5.162,0
inb哥,314,6.3,4.879,4.134,1
jojo天下第一,291,7.9,3.952,4.614,0
jo厨,1236,9.4,4.78,3.676,1
jo护车,292,7.9,3.511,4.725,1
jo太郎,435,8.3,4.48,5.02,1
k头,518,6.5,5.027,4.743,1
lei了,709,6.7,2.355,5.137,1
lol手游,283,7.2,4.709,4.82,0
lol玩家,577,7.9,3.952,4.152,0
mc好评,327,6.6,3.695,3.538,0
n刷,579,6.3,3.728,3.413,1
p图,1470,7.3,4.362,3.982,1
q闪,290,5,5.004,4.339,1
r闪,664,6.9,5.125,4.612,1
san值,265,5.2,3.948,3.567,1
shy爹,524,7.6,5.106,4.918,1
shy哥,4648,9.8,5.964,4.837,1
s赛,899,7.5,5.017,4.533,1
up猪,759,7.7,4.351,4.005,1
up主,17315,10.8,5.573,3.258,1
van强哥,3713,8.1,3.538,5.459,1
w闪,315,5.8,4.785,4.099,1
阿尔托莉雅,472,6.8,4.123,3.175,1
阿卡丽,3666,5.7,3.497,4.811,1
阿婆克烈,1238,9.6,3.845,3.726,1
阿婆主,2119,10.1,4.702,2.691,1
哎呦,1892,6.9,4.974,3.131,1
艾卡西亚,477,6.9,4.646,3.699,1
艾伦沃克,1109,12.2,2.878,2.005,1
艾玛真香,466,9.4,2.868,2.587,1
艾米莉亚,1275,8.3,2.108,2.503,1
艾欧尼亚,5004,9.9,5.1,5.422,1
爱蜜莉雅,2422,6.8,3.585,3.042,1
爱情公寓,727,5.8,4.567,4.506,1
安塞腰鼓,4017,11.4,3.95,4.247,1
安室透,279,10.5,4.459,3.396,1
俺也一样,21339,8,5.114,3.045,0
岸边露伴,548,12.8,3.366,4.033,1
按e,464,5.4,5.014,3.199,1
按f,463,7.4,4.545,3.478,1
暗杀名单,260,7.2,3.034,4.167,1
凹凸世界,1399,12.8,4.959,4.834,1
敖厂长,450,11.8,4.431,4.722,1
嗷呜,327,6.5,3.275,3.653,1
奥观海,748,11.6,2.399,3.041,1
奥里给,1213,6.7,2.208,3.945,1
奥利给,56662,13,2.324,4.478,1
八重樱,436,8.9,4.629,3.276,1
粑粑,1524,9.3,3.718,5.181,1
把我灌醉,8186,6.5,2.394,3.875,0
掰弯,264,8.8,3.458,3.003,1
白夫人,338,6.4,2.963,4.181,1
白嫖,42664,6.9,4.594,4.618,1
白嫖成功,2871,7.1,3.163,3.872,0
白嫖快乐,264,6.9,2.544,2.977,0
白嫖失败,18557,7.1,3.602,5.824,0
白色相簿,684,5.7,2.228,2.168,0
百鬼夜行,335,7,3.231,3.961,1
百合子,257,11,2.855,3.4,1
百里守约,3148,9.2,5.404,5.751,1
百里甩狙,270,9.7,2.12,2.332,1
百里玄策,1036,8.1,4.905,5.022,1
百万调音,1972,8.9,3.752,5.048,0
百万调音师,3995,9.7,4.96,5.598,0
百万合影,1038,8.3,4.262,4.383,0
百万贺电,675,7.9,4.222,4.279,0
百万特效,752,8,3.819,4.306,0
百万填词,16091,11,5.032,6.121,0
百万助攻,4637,9.8,5.257,5.803,0
败者食尘,2804,10,4.955,5.574,1
拜年祭,453,7,4.372,3.832,1
搬砖,307,11,3.624,3.417,1
坂本大佬,437,10.8,2.875,4.704,1
版本答案,262,6.8,4.49,3.971,1
榜一,275,6.1,3.068,3.617,1
宝藏up,339,9.1,3.422,3.375,1
保护我方,1428,9.4,4.208,2.983,1
报复社会,708,11.4,3.896,3.921,1
豹女,576,7.8,4.012,5.273,1
暴露年龄,384,11.6,4.773,2.646,1
爆丸小子,343,5.7,3.351,3.53,1
倍速看,257,6.2,2.148,3.169,0
被封,1328,5.6,4.751,2.565,1
被水淹没,289,6.5,3.391,2.102,0
被削,1137,5.2,4.794,2.185,1
本命守约,289,7.9,4.817,3.741,1
本命英雄,367,8.1,3.299,5.643,1
本色出演,3483,9.7,5.322,5.875,1
比尔吉沃特,943,7.7,5.184,5.097,1
比利王,420,5.7,3.457,2.374,1
币比赞多,568,8.1,2.07,3.126,1
必须三连,1340,10.7,3.925,4.066,1
毕生所学,279,9.6,2.767,3.936,1
哔哩哔哩,8234,13.3,5.391,5.364,1
碧蓝之海,812,9,4.738,4.777,1
蝙蝠时代,1660,19.2,4.689,2.585,1
变声器,564,6.8,4.137,4.307,1
变形兄弟,359,8.6,3.243,2.873,1
标题党,794,12.7,5.294,4.638,1
标准结局,4625,14.1,5.239,6.249,1
标准开头,2562,13.5,4.6,5.557,1
表白墙,707,6.8,3.317,3.669,1
表情包,1582,11.1,4.24,3.923,1
憋笑,929,5.2,3.217,4.482,1
别尬黑,262,5.1,3.46,3.598,1
别念了,1535,7.8,2.33,5.51,1
别侮辱,307,11.3,3.345,2.777,1
冰菓,2396,9.8,2.634,3.396,1
病名为爱,300,5.8,3.139,3.588,1
