Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
做完了,3,13,4.5,3.239,2.931,0.02,0.006031233,-1
做完,2,16,4.1,3.078,2.733,0.2,0.038554217,0
做题,2,9,4,2.948,3.17,0.1,0.002619439,-1
做功冲程,4,8,8.8,2.75,2.75,0.02,0.002097966,-1
做个,2,30,3.6,3.841,3.74,0.02,0.024658348,-1
做的,2,30,3.7,3.59,2.84,0.25,0.318926975,-1
做的,2,27,3.6,4.431,4.459,0.2,0.196787149,-1
做的,2,17,3.6,2.604,3.293,0.025641026,0.02970297,-1
做的,2,13,3.7,2.807,2.807,0.166666667,0.027704485,-1
做的,2,14,3.8,3.325,3.379,0.071428571,0.01713002,-1
做的,2,11,3.7,3.278,2.55,0.03125,0.010673482,-1
做的,2,11,4.1,3.278,3.278,0.027777778,0.008453506,-1
做的,2,37,3.7,3.783,3.801,0.022222222,0.00429781,-1
做的,2,30,3.7,2.566,3.012,0.02,0.00325563,-1
做到,2,10,4.5,2.922,2.522,0.023255814,0.004846022,0
座山雕,3,25,8.4,3.155,2.529,0.083333333,0.028571429,-1
坐下,2,13,5.2,2.931,2.507,0.04,0.010286225,0
坐下,2,24,6.7,3.288,2.999,0.022222222,0.003121793,0
作者,2,20,7.9,3.122,2.646,0.25,0.0409699,0
作者,2,29,6.5,4.087,4.211,0.029411765,0.037351443,0
作者,2,10,7.6,2.846,3.122,0.090909091,0.013850416,0
作者,2,8,7.1,3,3,0.03030303,0.011049724,0
作者,2,17,5.9,3.499,3.69,0.027777778,0.010710259,0
作者,2,16,8.3,3.375,3.578,0.02,0.010224439,0
作者,2,13,7.3,2.931,2.815,0.03030303,0.008705114,0
作者,2,17,6.6,3.41,3.293,0.02,0.007417269,0
作者,2,9,6,3.17,2.948,0.02,0.006134969,0
作者,2,22,5.7,3.027,2.55,0.023255814,0.005763867,0
作者,2,9,6.4,2.948,2.948,0.02,0.005763335,0
作者,2,8,7.8,3,3,0.04,0.004950495,0
作者,2,9,6.3,2.725,2.948,0.2,0.004419446,0
作者,2,13,7.2,3.547,3.547,0.03030303,0.004198717,0
作者,2,8,7.3,3,3,0.026315789,0.003993155,0
作者,2,26,6.4,3.84,4.177,0.022222222,0.003399761,0
作者,2,17,5.8,3.41,3.572,0.02,0.001834664,0
作战记录,4,41,5.7,2.526,5.046,0.5,0.168539326,-1
作用,2,17,5.5,2.895,2.895,0.1,0.004926108,0
作业帮,3,26,7.4,3.006,3.398,0.1,0.007232778,-1
作业,2,1970,3.7,3.816,5.4,0.04,1,0
作业,2,339,4.4,4.407,5.361,0.2,0.787951807,0
作业,2,85,5.2,2.828,4.622,0.043478261,0.559375,0
作业,2,684,5.4,4.994,6.164,0.02,0.334194938,0
作业,2,33,6.6,3.541,3.862,0.047619048,0.148694665,0
作业,2,35,6.4,2.936,3.562,0.02,0.039703154,0
作业,2,46,5,3.68,3.265,0.071428571,0.036691542,0
作业,2,16,7,3.281,3.203,0.02173913,0.029575329,0
作业,2,19,6.2,3.387,3.827,0.2,0.009441543,0
作业,2,10,7.8,2.922,2.522,0.02,0.007427213,0
作业,2,10,7.7,2.922,2.646,0.04,0.007155635,0
作业,2,24,7.5,3.335,2.833,0.022222222,0.0029935,0
作文,2,17,6.1,3.617,2.654,0.076923077,0.111313869,0
作为,2,15,4.9,3.457,2.84,0.1,0.004339667,0
作曲,2,29,5.9,4.349,2.836,0.02,0.114780726,0
作曲,2,8,6.7,2.75,2.75,0.0625,0.035812672,0
作品,2,17,4.6,2.676,3.175,0.111111111,0.034516765,0
作品,2,24,7.4,3.09,3.313,0.02,0.012973534,0
作品,2,12,6.3,3.022,3.189,0.02173913,0.012745098,0
作品,2,9,5.9,2.948,2.642,0.066666667,0.006224563,0
作词,2,12,4.2,3.418,3.418,0.111111111,0.100760456,-1
作词,2,14,6.5,2.55,3.093,0.166666667,0.043661972,-1
作词,2,24,4,3.887,4.304,0.02,0.015205395,-1
作词,2,30,5.3,4.161,4.365,0.2,0.014865408,-1
作案,2,20,5.9,2.809,3.922,0.047619048,0.056542811,0
作案,2,28,7.2,2.951,3.593,0.041666667,0.035830619,0
佐田,2,22,7.8,3.447,4.278,0.071428571,0.04363974,1
左右下角,4,14,5.5,2.522,2.807,1,0.25037037,-1
左右声道,4,30,5.6,3.323,3.323,0.142857143,0.375118708,-1
左右声道,4,11,6.3,3.278,3.459,0.2,0.069858713,-1
左右声道,4,39,7.6,4.234,3.437,0.02,0.005567118,-1
左右不分,4,8,6.7,3,2.75,0.2,0.036006547,-1
左右,2,31,6,4.607,2.786,0.090909091,0.147321429,0
左右,2,33,6.1,2.529,2.923,0.222222222,0.122743682,0
左右,2,23,7.6,3.882,2.8,0.064516129,0.066964286,0
左右,2,10,8.7,2.722,3.122,0.166666667,0.014900662,0
左右,2,13,8.2,3.085,2.565,0.071428571,0.012345679,0
左下角,3,88,6.2,3.52,4.201,0.5,0.482666667,1
左下角,3,64,6.1,3.789,3.691,0.125,0.249786142,1
左下角,3,36,5.8,4.006,4.406,0.2,0.202546296,1
左下角,3,30,5.3,4.14,4.507,0.333333333,0.155045872,1
左下角,3,12,6.3,2.752,3.252,0.25,0.154248366,1
左下角,3,46,6.7,4.466,4.719,0.142857143,0.117702448,1
左下角,3,35,6,4.651,4.379,0.142857143,0.11300813,1
左下角,3,163,6,5.362,5.533,0.03030303,0.112923937,1
左下角,3,36,5.9,3.705,4.163,0.2,0.058287359,1
左下角,3,29,7.3,3.522,3.906,0.090909091,0.041551247,1
左下角,3,8,6.7,2.75,2.75,0.025,0.032033426,1
左下角,3,57,7.1,4.196,4.442,0.714285714,0.018280017,1
左下角,3,9,6.3,2.725,2.503,0.03030303,0.012277471,1
左手,2,38,4.1,3.909,3.53,0.125,0.311486963,0
左手,2,20,6,3.641,3.546,0.090909091,0.037396122,0
左手,2,26,5.9,3.979,3.425,0.25,0.035907419,0
左上角,3,11,5.8,3.096,3.459,0.142857143,0.149078727,1
左上角,3,39,7.1,4.394,4.013,0.6,0.100156495,1
左上角,3,30,7.6,4.082,3.806,0.055555556,0.053144654,1
左上角,3,54,7.4,3.63,2.936,0.166666667,0.048790836,1
左上角,3,13,7.8,3.547,2.777,0.04,0.032887975,1
左上角,3,47,7.4,4.475,3.632,0.04,0.029108911,1
左上角,3,19,7.4,3.932,2.69,0.02,0.021351351,1
左拐,2,102,7.3,4.219,3.359,0.166666667,0.090369113,-1
左耳,2,42,5.1,2.623,2.553,1,0.48828125,-1
左边,2,34,4.6,3.899,2.63,0.5,0.739371534,0
左边,2,89,5.3,4.656,3.253,0.166666667,0.529308836,0
左边,2,23,6.7,3.375,2.521,0.333333333,0.195136418,0
左边,2,8,6.4,2.75,2.75,0.5,0.116591928,0
左边,2,117,5.7,5.312,3.428,0.027027027,0.102636535,0
左边,2,33,5.6,3.741,3.736,0.25,0.069565217,0
左边,2,24,5.9,3.205,2.781,0.111111111,0.058739934,0
左边,2,13,7.6,3.393,2.654,0.111111111,0.026627219,0
左边,2,20,6.5,3.684,3.071,0.071428571,0.016791045,0
左边,2,10,5,3.122,2.646,0.03030303,0.006949165,0
左边,2,20,7,2.646,2.722,0.023255814,0.005206074,0
昨天,2,13,5.6,3.239,3.181,0.045454545,0.023718439,0
尊重,2,21,7.3,3.006,3.332,0.111111111,0.064898153,0
尊重,2,52,7.2,2.656,3.602,0.027027027,0.04519774,0
尊重,2,8,6.6,2.75,2.75,0.1,0.02559727,0
尊重,2,13,7,3.393,3.239,0.04,0.008507957,0
尊严,2,11,8.9,3.096,2.845,0.02,0.008912656,0
尊哥,2,13,6.9,2.719,2.931,0.035714286,0.016756244,-1
醉了,2,10,3.8,2.522,3.122,0.02,0.006780756,1
罪己诏,3,21,4.9,3.237,3.749,0.333333333,0.153367876,-1
罪不至死,4,13,3.5,2.565,3.335,0.03030303,0.020192887,-1
罪不至此,4,302,6.8,2.877,4.934,0.03030303,0.466847498,1
罪不至此,4,121,6.6,2.581,4.022,0.076923077,0.421645613,1
罪不至此,4,44,7.1,2.881,4.127,0.166666667,0.282389449,1
罪不至此,4,96,5.3,4.029,5.043,0.045454545,0.245390973,1
罪不至此,4,242,7,3.139,4.291,0.03125,0.244137102,1
罪不至此,4,25,6.2,2.645,3.623,0.05,0.182242991,1
罪不至此,4,31,6.4,2.869,3.741,0.02,0.036116265,1
罪不至此,4,11,7.4,2.914,3.096,0.047619048,0.027421495,1
罪不至此,4,29,5.5,3.164,3.285,0.04,0.019064125,1
罪不至此,4,16,8.8,3.578,2.647,0.03030303,0.009839788,1
最右,2,7,7.8,2.807,2.807,0.142857143,0.024861878,-1
最右,2,12,6.3,2.792,2.752,0.058823529,0.024216524,-1
最右,2,36,6.2,3.726,3.774,0.02,0.014178912,-1
最小的,3,11,4.2,2.55,2.732,0.142857143,0.088,-1
最强起名王,5,136,6,5.033,4.092,0.142857143,0.048192771,-1
最强打野,4,11,4.9,2.845,3.096,0.142857143,0.047660691,-1
最强,2,21,4.9,2.712,3.01,0.111111111,0.142585551,-1
最强,2,14,5.8,2.807,3.379,0.1,0.124309392,-1
最强,2,69,5.5,4.402,2.84,0.035714286,0.089155865,-1
最强,2,11,5,3.278,2.845,0.111111111,0.079422383,-1
最强,2,10,6.8,2.522,2.646,0.038461538,0.034593725,-1
最强,2,10,5.3,2.522,2.922,0.071428571,0.017951099,-1
最强,2,35,5.7,2.545,4.433,0.02,0.015310004,-1
最强,2,55,7.3,4.335,3.39,0.02,0.013956034,-1
最强,2,16,4.8,3.281,3.375,0.03125,0.008179742,-1
最强,2,9,5,2.948,3.17,0.03030303,0.006269356,-1
最强,2,13,4.8,2.815,2.873,0.02,0.005880666,-1
最强,2,10,4.1,2.922,2.922,0.027027027,0.005405405,-1
最强,2,15,5,3.774,2.974,0.1,0.004339667,-1
最强,2,13,6.3,3.181,2.719,0.02,0.004006776,-1
最强,2,14,6.6,2.985,3.039,0.027777778,0.003966597,-1
