Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Den,Rep,Mark
进入直播间,5,1285,5,4.195,1.946,12.066,0,0
b站,2,350,5,1.555,3.156,9.206,0,1
天皇,2,1304,5,2.784,2.448,7.254,0,1
肖战,2,1972,5,1.695,1.879,6.645,0,1
卢本伟,3,3183,5,2.677,2.37,6.116,0.011904762,1
骑兵连,3,699,5,2.831,1.475,4.792,0,1
给爷爬,3,143,5,1.679,1.561,4.118,0.2,1
容嬷嬷,3,603,5,2.595,3.894,3.476,0,1
鸡你太美,4,484,5,1.421,1.476,2.589,0.641791045,1
李云龙,3,183,5,1.79,2.69,2.235,0,1
上电视,3,364,5,2.392,1.971,2.13,1,1
杨超越,3,197,5,3.093,3.104,2.025,0.64,1
泪目,2,512,5,2.684,1.371,1.915,0.20754717,1
泪目,2,519,5,1.877,1.422,1.74,1,1
波鲁那雷夫,5,203,5,1.213,1.494,1.675,0,1
卢姥爷,3,229,5,2.124,1.702,1.576,0,1
王境泽,3,262,5,2.32,2.868,1.558,0.1875,1
苏卡不列,4,228,5,1.517,2.154,1.52,0.2,1
笑死,2,144,5,2.219,1.29,1.333,0,1
泪目,2,172,5,1.516,1.767,1.325,0.5,1
黄磊,2,115,5,1.799,2.014,1.228,0,1
般配,2,596,5,1.786,1.968,1.22,1,1
硬币,2,191,5,1.882,2.359,1.193,0,1
文艺复兴,4,147,5,1.386,1.386,1.185,0,1
川普,2,265,5,3.266,2.788,1.172,0,1
牛逼,2,156,5,2.215,1.781,1.137,1,1
充钱,2,157,5,1.278,2.757,1.126,0.375,1
围观,2,453,5,1.507,1.972,1.116,0,1
正道的光,4,887,5,1.931,2.045,1.026,0.461538462,1
计数君,3,186,5,2.232,2.78,1.011,0,1
三连,2,84,5,2.368,1.997,0.963,1,1
周某,2,113,5,2.483,2.523,0.926,0,1
百万填词,4,154,5,1.332,1.909,0.875,0,1
害怕,2,108,5,1.82,1.692,0.822,0.25,1
牛逼,2,107,5,2.008,1.39,0.809,1,1
那个男人,4,185,5,2.206,2.677,0.808,0,1
泪目,2,574,5,2.211,1.639,0.79,0.05785124,1
押韵,2,104,5,2.784,1.609,0.703,0,1
假面骑士,4,85,5,1.979,2.562,0.689,0,1
绿队,2,135,5,2.554,2.016,0.688,0,1
坤坤,2,117,5,3.067,3.543,0.661,0.014925373,1
真香,2,265,5,2.298,2.5,0.654,1,1
手机,2,98,5,1.331,2.511,0.647,0,1
填词,2,180,5,2.708,3.321,0.629,0,1
不上b站,4,99,5,2.212,1.341,0.627,0,1
up,2,108,5,2.936,2.098,0.611,0,1
up,2,94,5,2.689,1.804,0.61,0,1
b站,2,134,5,2.096,3.088,0.607,0,1
牛批,2,115,5,2.404,1.487,0.602,0.033898305,1
举报,2,41,5,2.447,2.018,0.591,0,1
抗日英雄,4,100,5,1.807,2.016,0.585,0,1
雷佳音,3,90,5,1.747,2.631,0.57,0,1
up,2,51,5,2.098,1.812,0.567,0,1
up,2,122,5,2.056,2.271,0.567,0,1
弹幕,2,77,5,2.646,2.946,0.566,0,1
投币,2,62,5,1.248,2.026,0.557,0.3,1
马云,2,143,5,2.979,3.586,0.554,0,1
up,2,260,5,3.03,2.13,0.549,0,1
原版,2,123,5,1.254,2.121,0.538,0.5,1
党妹,2,77,5,2.247,2.159,0.535,0,1
笑死,2,48,5,2.108,1.257,0.527,0,1
奥观海,3,86,5,2.385,2.412,0.524,0,1
谢罪,2,66,5,1.866,1.253,0.52,1,1
蕾丝,2,65,5,3.015,2.784,0.512,0,1
银河,2,25,5,1.643,2.129,0.511,0,1
van,3,110,5,2.013,2.534,0.505,0,1
坏女人,3,411,5,2.33,2.287,0.479,0.153846154,1
离谱,2,188,5,1.991,1.636,0.476,0.428571429,1
害怕,2,1027,5,1.722,1.529,0.451,1,1
卢本伟,3,57,5,2.827,3.181,0.449,0,1
笑死,2,175,5,2.396,1.372,0.449,0,1
up,2,47,5,2.25,1.394,0.448,0,1
笑死,2,44,5,2.581,1.309,0.44,0,1
初二,2,60,5,2.476,2.826,0.437,0,1
主持人,3,47,5,2.136,3.154,0.431,0,1
bgm,3,94,5,1.74,2.883,0.43,0.625,1
投币,2,409,5,3.159,2.369,0.427,0.083333333,1
米4达,3,142,5,1.543,2.867,0.427,0,1
b站,2,41,5,1.907,2.976,0.414,0,1
c语言,3,31,5,1.581,2.842,0.413,0,1
b站,2,94,5,2.431,1.742,0.412,0,1
华农,2,58,5,2.686,2.804,0.411,0,1
完全一致,4,150,5,1.427,1.468,0.405,0,1
牛壁,2,113,5,1.645,1.332,0.401,0.008064516,1
up,2,38,5,2.043,1.464,0.396,0,1
三连,2,109,5,2.276,1.354,0.387,1,1
牛批,2,63,5,2.476,1.547,0.386,0.014925373,1
牛逼,2,45,5,1.33,1.523,0.381,1,1
黄磊,2,90,5,1.868,2.338,0.37,0,1
bgm,3,44,5,1.659,1.666,0.367,0,1
天依,2,35,5,2.02,2.359,0.363,1,1
up主,3,46,5,2.014,2.524,0.362,0,1
诸葛,2,69,5,1.957,1.416,0.354,0,1
坤坤,2,64,5,2.573,3.129,0.352,0,1
mmp,3,43,5,2.174,2.043,0.35,0,1
开挂,2,76,5,1.505,1.909,0.339,0,1
超越妹妹,4,27,5,2.272,2.511,0.338,0,1
猛男,2,83,5,2.789,3.007,0.337,0,1
亮剑,2,324,5,2.225,2.086,0.335,0.095238095,1
卢来佛祖,4,116,5,1.55,3.193,0.33,0,1
8848,4,34,5,1.748,2.754,0.33,0,1
押韵,2,57,5,1.979,2.317,0.322,0,1
up,2,79,5,2.548,1.738,0.322,0,1
弹幕,2,36,5,2.453,2.083,0.318,0,1
害怕,2,56,5,1.782,1.589,0.316,0.044776119,1
up,2,38,5,2.211,1.884,0.306,0.333333333,1
马老师,3,116,5,2.728,3.529,0.304,0,1
牛逼,2,31,5,1.748,1.581,0.303,0.125,1
那个女人,4,56,5,1.748,2.357,0.303,0,1
下次一定,4,42,5,1.946,1.386,0.301,0.25,1
考研,2,96,5,1.261,1.369,0.3,0,1
牛逼,2,56,5,1.494,1.499,0.294,1,1
up,2,52,5,2.272,1.838,0.294,0,1
两开花,3,84,5,1.547,2.133,0.292,0.5,1
上香,2,258,5,1.525,1.295,0.29,0.666666667,1
鬼畜,2,71,5,3.106,2.832,0.29,0,1
梁非凡,3,26,5,1.972,1.831,0.283,0,1
吴亦凡,3,33,5,2.278,2.818,0.28,0,1
b站,2,47,5,2.363,3.249,0.276,0,1
小姐姐,3,23,5,1.792,2.335,0.267,0,1
up,2,25,5,1.475,1.386,0.264,0,1
送出,2,22,5,1.696,1.594,0.259,0,1
弹幕,2,26,5,1.712,1.923,0.257,0,1
rap,3,24,5,2.098,2.303,0.25,0,1
视频,2,83,5,3.036,3.532,0.249,0,1
蔡徐坤,3,33,5,2.678,2.691,0.248,0,1
公交车,3,64,5,2.726,2.6,0.238,0,1
up,2,25,5,1.906,1.635,0.234,0,1
陈独秀,3,90,5,1.348,2.043,0.23,0,1
广场舞,3,42,5,2.22,2.54,0.23,0,1
猕猴桃,3,24,5,1.733,1.946,0.228,0.333333333,1
bgm,3,71,5,1.325,1.35,0.228,0,1
害怕,2,60,5,1.792,1.242,0.227,0,1
雷总,2,33,5,1.906,2.736,0.219,0,1
牛壁,2,40,5,1.413,1.234,0.21,0.011299435,1
skr,3,25,5,1.673,1.778,0.208,0.107142857,1
鬼畜,2,24,5,1.812,1.395,0.205,0,1
调音,2,45,5,2.021,2.014,0.205,0,1
二倍,2,30,5,1.386,1.925,0.193,0.090909091,1
王司徒,3,69,5,2.968,3.363,0.193,0,1
新宝岛,3,48,5,2.856,2.811,0.19,0,1
投币,2,55,5,2.033,1.942,0.189,0.083333333,1
麦克,2,31,5,1.561,1.455,0.189,0,1
sk,2,92,5,1.419,1.216,0.188,0,1
三千世界,4,45,5,1.529,2.507,0.179,0,1
牛批,2,25,5,1.696,1.386,0.176,0.25,1
bgm,3,101,5,2.715,2.527,0.174,0,1
马化腾,3,44,5,2.625,2.842,0.173,0,1
出道,2,43,5,2.276,1.504,0.173,0,1
大佬,2,27,5,2.289,2.479,0.172,0.2,1
99,2,23,5,1.609,1.609,0.167,0,1
卢姥爷,3,46,5,1.667,1.667,0.153,0,1
鬼畜,2,18,5,1.677,1.561,0.145,0,1
蓝字,2,22,5,1.667,2.395,0.14,0,1
魔性,2,21,5,1.39,1.303,0.14,0,1
up,2,45,5,2.339,2.417,0.137,0,1
白嫖,2,13,5,1.386,1.906,0.135,0,1
字幕,2,12,5,1.846,1.523,0.125,0,1
up,2,42,5,2.31,2.151,0.125,0,1
牛批,2,27,5,1.525,1.332,0.124,0.333333333,1
鬼畜,2,12,5,2.303,2.025,0.121,0,1
小伙,2,18,5,1.706,2.338,0.118,0,1
顶上去,3,28,5,1.386,1.593,0.115,0.033333333,1
真香,2,125,5,1.946,1.259,0.115,0,1
up,2,21,5,1.792,1.479,0.108,0.25,1
up,2,20,5,1.386,1.556,0.107,0.1,1
两倍,2,16,5,1.609,1.899,0.1,0,1
up,2,25,5,1.598,1.275,0.1,0,1
鲲鲲,2,24,5,1.609,1.512,0.098,0,1
子房,2,34,5,1.321,1.799,0.096,0.043478261,1
van,3,23,5,2.079,2.243,0.095,0,1
硬币,2,13,5,1.594,1.839,0.095,0,1
bgm,3,67,5,2.114,1.892,0.093,0,1
51凡,3,42,5,2.513,2.901,0.091,0,1
老实人,3,13,5,1.834,1.386,0.09,0,1
翻唱,2,19,5,1.483,2.077,0.09,0,1
原版,2,13,5,1.768,1.889,0.084,0,1
中菲友谊,4,20,5,1.386,1.303,0.082,0,1
为国争光,4,15,5,1.748,1.609,0.079,0,1
原版,2,12,5,1.609,2.095,0.079,0,1
特么,2,8,5,1.906,1.906,0.076,0,1
面筋哥,3,14,5,1.386,1.792,0.075,0,1
b站,2,8,5,1.748,1.609,0.071,0,1
视频,2,21,5,2.038,2.366,0.071,0,1
saber,5,24,5,1.909,2.431,0.07,0,1
恶心,2,32,5,2.585,1.778,0.068,0,1
点赞,2,17,5,1.887,1.366,0.067,0,1
rap,3,33,5,2.868,2.082,0.066,0,1
原版,2,15,5,1.909,1.889,0.063,0,1
rap,3,11,5,1.667,1.609,0.061,0,1
特么,2,26,5,1.653,2.976,0.06,0,1
b站,2,9,5,1.561,1.748,0.058,0,1
这首歌,3,8,5,1.561,1.609,0.053,0,1
这首歌,3,8,5,1.748,1.748,0.053,0,1
miss,4,16,5,1.386,1.332,0.047,0,1
很棒,2,15,5,1.255,1.386,0.046,0.025641026,1
这首歌,3,10,5,1.609,2.043,0.046,0,1
老实人,3,39,5,1.899,2.396,0.046,0,1
笑死,2,14,5,1.748,1.39,0.046,0,1
特么,2,8,5,1.494,2.079,0.044,0,1
老吊,2,19,5,1.332,1.677,0.044,0,1
jojo,4,21,5,1.386,1.831,0.043,0,1
鲲鲲,2,19,5,1.35,1.792,0.043,0,1
唱跳rap,5,8,5,1.748,1.242,0.041,0,1
大师兄,3,21,5,2.098,2.032,0.039,0,1
三连,2,26,5,2.229,2.095,0.036,0.019230769,1
章承恩,3,8,5,1.609,1.561,0.033,0,1
恶心,2,10,5,1.677,1.332,0.033,0,1
葛平,2,19,5,1.386,1.906,0.03,0,1
表白,2,13,5,1.609,1.979,0.027,0.071428571,1
字幕,2,12,5,1.28,1.561,0.027,0,1
被削,2,8,5,1.55,1.213,0.023,0,1
特么,2,17,5,1.927,2.339,0.023,0,1
猫猫,2,10,5,1.33,1.561,0.018,0,1
彪哥,2,28,5,1.889,1.332,0.015,0.666666667,1
无敌,2,9,5,2.079,1.242,0.013,0,1
吓死,2,19,5,1.609,1.725,0.01,0,1
没毛病,3,32,5,1.33,1.33,0.006,0,1
世界,2,2292,5.1,1.962,1.834,8.771,0.003787879,1
giao,4,1261,5.1,1.98,1.617,4.714,0.662295082,1
长庚,2,1090,5.1,2.182,2.295,3.899,1,1
手机,2,277,5.1,1.43,2.36,3.354,0,1
bgm,3,103,5.1,1.976,2.178,3,0,1
坏女人,3,302,5.1,1.748,2.025,2.664,0.058823529,1
bgm,3,150,5.1,1.444,1.269,2.542,0,1
文艺复兴,4,286,5.1,1.386,2.164,2.358,0.034482759,1
bgm,3,314,5.1,2.141,2.469,2.326,0,1
杨永信,3,326,5.1,2.024,2.991,2.038,0.285714286,1
硬币,2,270,5.1,1.729,2.358,1.854,0,1
柯南,2,83,5.1,2.922,3.413,1.509,0,1
计数君,3,208,5.1,2.374,2.634,1.474,0,1
上香,2,235,5.1,2.446,1.982,1.39,0.166666667,1
bgm,3,64,5.1,2.146,2.58,1.333,0,1
马化腾,3,325,5.1,3.58,3.825,1.289,0,1
白嫖失败,4,216,5.1,1.33,1.332,1.222,0.047619048,1
bgm,3,299,5.1,2.47,2.79,1.22,0,1
van,3,331,5.1,1.643,1.869,1.138,1,1
bgm,3,343,5.1,2.568,3.28,1.131,0.028301887,1
卢本伟,3,171,5.1,2.612,2.232,1.104,0,1
百草园,3,57,5.1,1.267,1.668,1.077,0,1
送终鸡,3,196,5.1,2.025,2.782,1.06,0.029411765,1
卢本伟,3,183,5.1,2.754,3.11,1.037,0,1
押韵,2,72,5.1,2.082,1.314,1.014,0,1
女装,2,164,5.1,1.283,2.761,1.013,0,1
吐痰,2,125,5.1,1.643,1.512,1.009,1,1
李洙赫,3,136,5.1,3.01,3.362,1,0.666666667,1
up主,3,105,5.1,2.522,2.906,1,0,1
笑死,2,76,5.1,1.846,1.229,1,0,1
巨魔,2,102,5.1,1.39,1.953,1,0,1
处女币,3,141,5.1,2.374,2.158,0.979,0,1
白鼠,2,154,5.1,2.448,3.477,0.948,0,1
贞子,2,23,5.1,1.386,1.494,0.92,0,1
六小龄童,4,238,5.1,2.854,3.507,0.904,0,1
硬币,2,200,5.1,1.678,2.463,0.889,0,1
泪目,2,170,5.1,1.792,1.633,0.882,0,1
up,2,97,5.1,2.448,1.756,0.88,0.0625,1
雷霆嘎巴,4,112,5.1,1.748,1.55,0.872,1,1
要素过多,4,133,5.1,1.33,1.332,0.868,0.285714286,1
牛逼,2,110,5.1,2.428,1.643,0.862,0.4,1
b站,2,91,5.1,1.276,2.575,0.835,0,1
笑死,2,68,5.1,2.018,1.247,0.8,0,1
名场面,3,220,5.1,1.894,1.705,0.786,0.042553191,1
周姐,2,82,5.1,2.717,3.297,0.745,0,1
藤原,2,147,5.1,1.55,1.283,0.731,0,1
牛逼,2,263,5.1,2.606,1.685,0.72,1,1
papi,4,211,5.1,3.511,2.912,0.72,0.037735849,1
亿万填词,4,113,5.1,1.332,1.303,0.72,0,1
skr,3,265,5.1,1.761,1.637,0.714,1,1
娜扎,2,75,5.1,3.281,3.471,0.682,0,1
小姨妈,3,100,5.1,2.7,2.845,0.671,0,1
字幕,2,121,5.1,1.213,3.177,0.663,0,1
雷姆,2,137,5.1,1.868,1.259,0.66,0.423076923,1
何书桓,3,71,5.1,2.821,3.339,0.651,0,1
留名,2,138,5.1,1.511,1.332,0.621,0.153846154,1
加油,2,59,5.1,1.615,1.205,0.62,0.666666667,1
张三,2,172,5.1,3.009,3.319,0.616,0,1
害怕,2,66,5.1,1.748,1.475,0.615,0.045454545,1
鬼畜,2,70,5.1,2.315,1.768,0.607,0,1
乱入,2,238,5.1,1.519,1.468,0.588,0,1
华农,2,139,5.1,2.308,3.518,0.584,0,1
牛逼,2,79,5.1,1.765,1.557,0.582,1,1
复读机,3,267,5.1,2.353,2.777,0.581,0.333333333,1
原版,2,125,5.1,1.354,1.954,0.561,0.333333333,1
带制作,3,266,5.1,2.109,1.655,0.558,0.777777778,1
牛逼,2,120,5.1,2.16,1.424,0.557,1,1
钉宫,2,50,5.1,2.144,2.279,0.554,0,1
特朗普,3,84,5.1,2.87,2.97,0.545,0,1
真香,2,103,5.1,1.301,1.33,0.54,1,1
魔性,2,85,5.1,2.163,1.772,0.538,0,1
押韵,2,81,5.1,1.983,2.226,0.537,0,1
害怕,2,64,5.1,1.55,2.205,0.521,0.166666667,1
c位,2,48,5.1,1.906,3.031,0.516,0,1
giao,4,130,5.1,1.896,1.534,0.514,0.620689655,1
蔡徐坤,3,167,5.1,1.637,3.128,0.507,0,1
牛逼,2,71,5.1,1.83,1.615,0.504,0.466666667,1
本色出演,4,113,5.1,1.748,1.386,0.502,0.25,1
牛逼,2,49,5.1,2.023,1.642,0.484,1,1
字幕,2,58,5.1,1.95,2.568,0.483,0,1
笑死,2,72,5.1,2.488,1.406,0.477,0,1
洛天依,3,44,5.1,1.946,1.768,0.473,0,1
央视,2,46,5.1,2.463,3.057,0.451,0,1
被封,2,59,5.1,2.812,2.211,0.449,0,1
村霸,2,123,5.1,1.764,1.663,0.447,0,1
三连,2,119,5.1,2.674,2.135,0.446,0.7,1
牛逼,2,103,5.1,2.217,1.85,0.424,1,1
马云,2,110,5.1,2.913,3.292,0.424,0,1
偷车,2,47,5.1,1.79,2.165,0.422,0,1
王境泽,3,107,5.1,2.775,3.658,0.418,0,1
bgm,3,57,5.1,2.087,1.981,0.415,0,1
原版,2,38,5.1,1.596,2.11,0.413,0,1
周淑怡,3,47,5.1,2.449,1.966,0.409,0,1
害怕,2,70,5.1,1.846,1.321,0.404,1,1
up,2,80,5.1,2.598,1.831,0.404,0,1
牛批,2,58,5.1,1.956,1.927,0.385,0.4,1
up,2,54,5.1,2.095,1.219,0.375,0,1
弹幕,2,308,5.1,2.519,1.74,0.371,1,1
特朗普,3,37,5.1,1.748,2.872,0.366,0,1
鬼畜,2,59,5.1,3.067,2.666,0.361,0.090909091,1
后摇,2,38,5.1,1.634,1.972,0.359,0,1
rap,3,99,5.1,3.244,2.799,0.355,0,1
小姐姐,3,50,5.1,2.057,2.251,0.34,0,1
up,2,51,5.1,2.249,1.44,0.333,0,1
bgm,3,50,5.1,1.228,1.332,0.325,0,1
无缝连接,4,77,5.1,1.906,1.609,0.32,0,1
笑死,2,40,5.1,1.667,1.254,0.32,0,1
黑镖客,3,39,5.1,1.332,1.331,0.317,0,1
大佬,2,54,5.1,2.631,2.562,0.316,0.02238806,1
牛逼,2,105,5.1,1.964,1.458,0.314,1,1
牛逼,2,139,5.1,2.688,1.374,0.312,1,1
牛逼,2,315,5.1,2.955,1.822,0.31,0.075144509,1
演技,2,230,5.1,2.64,2.697,0.305,0,1
秀儿,2,51,5.1,1.476,1.907,0.304,0.007462687,1
手机,2,26,5.1,1.318,1.732,0.302,0,1
出道,2,15,5.1,2.441,1.465,0.3,0,1
rap,3,21,5.1,2.507,2.447,0.296,0,1
灰太狼,3,61,5.1,1.277,2.599,0.292,0,1
bgm,3,36,5.1,1.263,1.666,0.29,0,1
王宝强,3,44,5.1,1.646,2.254,0.288,0,1
张大仙,3,26,5.1,1.465,1.631,0.283,0,1
六小龄童,4,26,5.1,2.322,2.376,0.281,0,1
bgm,3,35,5.1,1.505,1.386,0.28,0,1
牛逼,2,62,5.1,2.494,1.637,0.272,1,1
bgm,3,32,5.1,1.677,1.831,0.271,0,1
rap,3,62,5.1,2.963,2.602,0.267,0,1
面筋哥,3,22,5.1,2.079,2.752,0.263,0,1
方文山,3,72,5.1,1.367,3.081,0.263,0,1
蔡徐坤,3,34,5.1,2.133,2.965,0.256,0,1
五五开,3,30,5.1,2.025,2.043,0.25,0,1
硬币,2,48,5.1,2.151,2.408,0.249,0.333333333,1
sans,4,61,5.1,1.561,2.245,0.249,0,1
bgm,3,286,5.1,2.672,3.118,0.242,0,1
卢姥爷,3,29,5.1,2.084,2.788,0.242,0,1
bgm,3,58,5.1,2.106,2.844,0.241,0,1
