Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,mark
原汁原味,4,10,2880.9,3.322,3.122,0,0,1
芳容冲冲冲,5,9,40.8,1.447,1.447,0,0,0
顶你,2,26,21.6,2.599,2.59,0,0,0
乳上,2,21,13.6,1.201,1.116,0,0,0
见每,2,25,9.6,2.519,1.569,0,0,0
门朱,2,16,7.8,1.186,1.299,0,0,0
头牛,2,57,7.1,1.155,1.173,0,0,0
睹芳容震,4,17,7.1,1.022,1.16,0,0,0
体百,2,12,7,1.041,1.041,0,0,0
体光,2,31,6.3,1.279,1.404,0,0,0
方众,2,29,6.3,1.274,1.143,0,0,0
念每,2,19,6.2,1.021,1.465,0,0,0
八方反,3,15,6.2,1.237,1.688,0,0,0
头朱,2,10,6.1,2.046,1.357,0,0,0
吗每,2,24,6,2.97,1.207,0,0,0
秀每,2,24,5.7,2.225,1.351,0,0,0
狙战,2,15,5.6,1.231,1.273,0,0,0
门每,2,119,5.4,1.293,1.25,0,0,0
门三,2,20,5.4,1.188,1.882,0,0,0
水故,2,8,5.4,2.156,1.061,0,0,0
头太,2,15,4.8,2.423,2.733,0,0,0
开震,2,21,4.7,1.549,1.049,0,0,0
头自,2,18,4.6,2.169,1.991,0,0,0
场自,2,10,4.6,1.961,2.122,0,0,0
门黄,2,107,4.2,1.078,1.012,0,0,0
遍镇,2,38,4.1,1.44,1.111,0,0,0
翅黄,2,9,4.1,1.53,1.224,0,0,0
验每,2,24,4,1.272,1.196,0,0,0
子阿,2,9,14.4,2.059,2.281,0.021276596,2.76E-05,0
吗有,2,15,9.5,1.375,1.37,0.021276596,2.76E-05,0
方剑,2,16,7.6,1.299,1.703,0.063829787,2.76E-05,0
验震,2,8,7.5,1.061,1.061,0.021276596,2.76E-05,0
士六,2,10,6.9,2.322,1.961,0.021276596,2.76E-05,0
体战,2,31,6.6,1.467,1.512,0.021276596,2.76E-05,0
头空,2,13,6.6,1.988,1.892,0.021276596,2.76E-05,0
头苏,2,42,6.3,1.885,1.066,0.021276596,2.76E-05,0
眼光,2,11,6,1.823,1.972,0.021276596,2.76E-05,0
体反,2,11,4.7,1.322,2.04,0.021276596,2.76E-05,0
路哇,2,10,4.6,1.157,2.922,0.021276596,2.76E-05,0
门鲤鱼,3,24,4.3,1.414,1.52,0.021276596,2.76E-05,0
念4,2,16,4.1,1.014,2.186,0.021276596,2.76E-05,0
方一,2,195,4,1.004,1.783,0.021276596,2.76E-05,0
咚咚咚,3,8,51600.8,1.061,1.061,0.042553191,5.52E-05,0
子建,2,8,41.6,1.75,1.75,0.021276596,5.52E-05,0
了久,2,108,17.3,2.417,1.158,0.021276596,5.52E-05,0
雄让,2,13,7.7,1.14,1.14,0.021276596,5.52E-05,0
门关,2,8,7.2,1.549,2.156,0.021276596,5.52E-05,0
弄我,2,11,5,2.049,2.049,0.021276596,5.52E-05,0
遍第,2,18,4.1,2.105,3.419,0.021276596,5.52E-05,0
舔嘞,2,8,13098.7,1.299,1.061,0.063829787,8.28E-05,1
孤寡,2,11,12388.3,1.278,1.278,0.170212766,8.28E-05,1
非典,2,8,478.2,1.811,2.156,0.085106383,8.28E-05,0
疼一点,3,8,161.4,1.549,1.299,0.063829787,8.28E-05,0
仙仙仙,3,12,43.1,1.208,1.041,0.063829787,8.28E-05,0
度光,2,113,36.5,1.025,1.098,0.021276596,8.28E-05,0
点荷,2,88,18.3,1.159,1.036,0.021276596,8.28E-05,0
开物,2,270,17.9,1.022,1.066,0.021276596,8.28E-05,0
方光,2,72,7.3,1.093,1.25,0.021276596,8.28E-05,0
拳仙人,3,13,6.5,1.914,1.614,0.021276596,8.28E-05,0
列仙,2,11,5.5,1.79,1.241,0.021276596,8.28E-05,0
了五,2,22,4.5,3.203,2.584,0.021276596,8.28E-05,0
了哇,2,10,4.5,2.646,2.646,0.021276596,8.28E-05,0
遍空,2,23,4,1.209,1.121,0.021276596,8.28E-05,0
咕咕,2,8,39910,1.549,1.549,0.063829787,0.000110354,0
哼哼,2,10,31928,1.961,2.161,0.021276596,0.000110354,1
俊翔,2,12,1207.9,1.041,1.418,0.191489362,0.000110354,0
不灭,2,9,91.1,3.17,1.224,0.021276596,0.000110354,0
由自,2,12,52.1,1.384,1.384,0.085106383,0.000110354,0
苏某,2,8,35,1.406,1.75,0.106382979,0.000110354,0
指指指,3,11,28.9,1.491,1.241,0.063829787,0.000110354,0
vc,2,8,14.5,1.061,1.061,0.127659574,0.000110354,0
了承,2,24,13.7,2.605,1.898,0.021276596,0.000110354,0
刷刷,2,8,12.5,1.299,1.299,0.042553191,0.000110354,0
