Word,Num,Frequence,Mut,Freedom_L,Freedom_R,TF,IDF,TF-IDF,Mark,Rep,Den
祖安大舞台,5,146,8.2,5.8,2.43,0.00194729,4.506499817,0.008775461,1,0.0,0.0
自在鸡意功,5,94,5.2,5.09,5.504,0.001253735,4.696093546,0.005887655,1,0.0,0.0
自由美利坚,5,100,5.1,5.034,2.465,0.00133376,4.669495778,0.006227987,1,0.0,0.0
自由的气息,5,420,5.1,5.606,5.457,0.005601793,4.049535056,0.022684655,1,0.04,0.00173287123433751
造化钟神秀,5,86,7.4,3.777,4.828,0.001147034,4.734297899,0.005430399,1,0.0,0.0
亿万调音师,5,516,5.5,6.421,7.001,0.006882202,3.960326609,0.027255769,1,0.0,0.0
伊丽莎白鼠,5,122,8.7,4.026,5.739,0.001627187,4.58391204,0.007458884,1,0.04,6.664889362836577e-05
笑skr人,5,102,5.2,4.541,5.122,0.001360435,4.660979927,0.006340962,1,0.04,6.664889362836577e-05
小嘴抹了蜜,5,507,6.8,6.096,6.402,0.006762164,3.967953439,0.026831951,1,0.0,0.0
吸欧气许愿,5,89,6.0,3.74,5.202,0.001187047,4.719574642,0.005602355,1,0.0,0.0
物理课代表,5,421,7.7,6.035,4.763,0.00561513,4.048504701,0.022732881,1,0.0,0.0
乌鸦坐飞机,5,395,7.8,4.752,4.693,0.005268353,4.076121966,0.021474448,1,0.08,0.01053052519328179
窝窝头时代,5,115,7.6,4.88,2.65,0.001533824,4.609359162,0.007069946,1,0.04,6.664889362836577e-05
文体两开花,5,566,7.1,5.426,6.149,0.007549082,3.920234093,0.02959417,1,0.04,0.00026659557451346307
凸OwO凸,5,282,9.1,4.741,5.348,0.003761204,4.222030716,0.015879917,1,0.0,0.0
凸OWO凸,5,180,9.1,4.306,4.866,0.002400768,4.416138577,0.010602125,1,0.0,0.0
凸owo凸,5,161,9.1,4.826,4.826,0.002147354,4.464302137,0.009586436,1,0.0,0.0
凸0w0凸,5,424,9.1,4.716,5.469,0.005655143,4.045428222,0.022877475,1,0.0,0.0
天道好轮回,5,116,6.3,4.899,2.378,0.001547162,4.60563129,0.007125657,1,0.0,0.0
唐宋八大家,5,136,6.7,5.383,5.398,0.001813914,4.537096585,0.008229902,1,0.0,0.0
瞬狱影杀阵,5,101,9.4,4.023,4.222,0.001347098,4.66521698,0.006284503,1,0.04,0.00026659557451346307
数学课代表,5,354,7.6,5.705,4.668,0.004721511,4.123588799,0.019469569,1,0.0,0.0
首页通知书,5,390,8.7,5.771,6.372,0.005201665,4.081640394,0.021231324,1,0.04,0.0001999466808850973
誓做科学家,5,262,6.8,4.593,4.858,0.003494452,4.253861403,0.014864913,1,0.0,0.0
时代来考古,5,310,7.0,5.398,6.353,0.004134656,4.181056763,0.017287233,1,0.04,0.002066115702479339
生物课代表,5,180,7.1,5.59,4.622,0.002400768,4.416138577,0.010602125,1,0.0,0.0
少羽大天狗,5,91,7.8,3.699,3.566,0.001213722,4.710029324,0.005716665,1,0.0,0.0
全明星阵容,5,306,6.9,5.903,6.388,0.004081306,4.186678776,0.017087117,1,0.04,6.664889362836577e-05
秦王扫六合,5,262,8.0,5.293,5.629,0.003494452,4.253861403,0.014864913,1,0.36,0.32098107171420953
女少口阝可,5,125,6.5,4.837,4.857,0.0016672,4.573446607,0.007624851,1,0.0,0.0
妮可妮可妮,5,138,10.2,3.942,3.807,0.001840589,4.530802351,0.008339345,1,0.0,0.0
面对疾风吧,5,128,6.1,5.246,4.591,0.001707213,4.563227441,0.007790401,1,0.04,0.000599840042655292
米奇妙妙屋,5,94,8.4,4.825,4.951,0.001253735,4.696093546,0.005887655,1,0.04,0.0004665422553985604
蒙药心脑方,5,87,6.7,4.441,4.348,0.001160371,4.72933448,0.005487784,1,0.0,0.0
闷声发大财,5,117,9.8,4.495,4.956,0.001560499,4.601935144,0.007181317,1,0.0,0.0
美猴王大圣,5,94,6.2,4.337,2.631,0.001253735,4.696093546,0.005887655,1,0.0,0.0
律师函警告,5,3693,7.7,6.718,6.742,0.049255762,3.106320261,0.153004171,1,0.0,0.0
洛必达法则,5,80,9.2,4.781,4.46,0.001067008,4.765332133,0.005084648,1,0.0,0.0
罗志祥时代,5,91,7.5,5.423,2.077,0.001213722,4.710029324,0.005716665,1,0.04,0.0021327645961077045
卢本伟广场,5,299,7.3,3.892,5.26,0.003987943,4.196695897,0.016736183,1,0.04,0.00026659557451346307
老歪脖子树,5,118,6.4,5.523,5.277,0.001573837,4.59827019,0.007236928,1,0.0,0.0
狂野飙车8,5,103,6.2,4.548,4.305,0.001373773,4.656783812,0.006397364,1,0.0,0.0
禁忌二重唱,5,220,7.6,5.604,6.028,0.002934272,4.329424878,0.012703711,1,0.0,0.0
简拉基茨德,5,104,7.8,2.584,5.844,0.001387111,4.652627853,0.006453709,1,0.0,0.0
化学课代表,5,148,6.9,5.4,4.806,0.001973965,4.500630883,0.008884088,1,0.0,0.0
虎牙688,5,84,6.7,4.59,4.679,0.001120359,4.744398226,0.005315427,1,0.0,0.0
毫无违和感,5,2605,7.1,6.842,6.976,0.034744452,3.25784274,0.113191959,1,0.04,0.0006664889362836577
鬼畜全明星,5,243,6.7,2.546,5.683,0.003241037,4.286427325,0.01389247,1,0.0,0.0
广door,5,205,6.1,5.019,2.056,0.002734208,4.359949931,0.011921011,1,0.0,0.0
戈尔巴乔夫,5,154,8.8,3.535,2.763,0.002053991,4.483485454,0.009209037,1,0.04,0.00013329778725673153
负债调音师,5,159,6.4,5.235,5.411,0.002120679,4.469697169,0.009478791,1,0.0,0.0
蛋黄的长裙,5,414,6.9,4.46,3.07,0.005521767,4.055769055,0.022395012,1,0.04,0.00013329778725673153
淡黄的长裙,5,1378,9.3,4.525,2.998,0.018379215,3.534252886,0.064956793,1,0.04,0.0013329778725673154
打call,5,807,5.6,5.788,5.289,0.010763444,3.766405791,0.040539499,1,0.04,0.0010663822980538523
川建国同志,5,4026,6.7,4.618,3.838,0.053697183,3.068835522,0.164787823,1,0.0,0.0
唱跳rap,5,84,6.6,4.26,3.431,0.001120359,4.744398226,0.005315427,1,0.0,0.0
xiang,5,116,6.1,3.661,4.563,0.001547162,4.60563129,0.007125657,1,0.04,0.0001999466808850973
wdnmd,5,8462,5.5,5.321,5.7,0.112862783,2.746292811,0.309954249,1,0.24,0.003532391362303386
WDNMD,5,2443,7.4,5.013,5.434,0.03258376,3.28571595,0.10706098,1,0.24,0.003532391362303386
super,5,182,5.7,4.936,2.038,0.002427443,4.411366062,0.010708342,1,0.04,0.003332444681418289
sorry,5,83,5.8,3.362,4.408,0.001107021,4.749537866,0.005257838,1,0.0,0.0
skr人才,5,150,6.1,3.816,5.62,0.00200064,4.494840204,0.008992558,1,0.0,0.0
saber,5,102,6.0,4.078,4.895,0.001360435,4.660979927,0.006340962,1,0.04,6.664889362836577e-05
roses,5,101,5.7,3.65,5.261,0.001347098,4.66521698,0.006284503,1,0.0,0.0
party,5,104,6.2,2.721,3.483,0.001387111,4.652627853,0.006453709,1,0.0,0.0
papi酱,5,195,6.6,5.421,4.143,0.002600832,4.38156108,0.011395705,1,0.0,0.0
music,5,112,6.1,2.709,4.189,0.001493811,4.620738708,0.006902512,1,0.04,6.664889362836577e-05
money,5,180,6.1,2.1,2.253,0.002400768,4.416138577,0.010602125,1,0.04,6.664889362836577e-05
loser,5,98,5.3,3.271,2.54,0.001307085,4.678181957,0.006114781,1,0.0,0.0
lemon,5,177,5.2,5.227,5.236,0.002360755,4.423397149,0.010442559,1,0.0,0.0
leimu,5,143,5.5,4.423,4.078,0.001907277,4.51545466,0.008612223,1,0.0,0.0
Duang,5,170,6.3,4.128,3.326,0.002267392,4.440821041,0.010069083,1,0.08,0.0001999466808850973
disco,5,112,5.5,3.568,5.539,0.001493811,4.620738708,0.006902512,1,0.0,0.0
build,5,101,5.0,4.674,5.093,0.001347098,4.66521698,0.006284503,1,0.04,0.0001999466808850973
227时代,5,105,5.8,4.978,2.992,0.001400448,4.648511286,0.006509999,1,0.04,0.00033324446814182886
