Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
老家,2,227,4,3.786,6.274,0.142857143,1,0
害怕,2,129,4.6,5.168,5.401,0.428571429,0.543017456,0
已经,2,88,5,2.288,2.782,0.142857143,0.390274314,0
好听,2,76,4.1,4.602,5.379,0.285714286,0.331670823,0
评委,2,50,5.7,4.641,3.061,0.142857143,0.224438903,1
淄博,2,45,5.9,4.28,3.788,0.285714286,0.192643392,-1
下车,2,43,4.8,2.484,4.609,0.285714286,0.161471322,0
什么,2,31,5.5,2.802,3.533,0.142857143,0.139027431,0
可以,2,25,5.8,4.183,3.863,0.285714286,0.098503741,0
山东,2,24,6.4,4.105,3.105,0.142857143,0.094139651,0
开始,2,22,4.8,3.659,3.516,0.142857143,0.098503741,0
有点,2,22,4.9,3.698,3.061,0.142857143,0.098503741,0
准备,2,19,6.7,3.616,3.366,0.142857143,0.085411471,0
那个,2,18,5.2,3.15,3.642,0.142857143,0.08042394,0
秒啊,2,17,4.1,3.572,3.852,0.285714286,0.071695761,-1
灵魂,2,17,6.6,2.931,3.337,0.142857143,0.07605985,0
厉害,2,17,4.7,3.455,3.382,0.285714286,0.067331671,0
鬼畜,2,16,6.3,4,3.453,0.142857143,0.071695761,1
李玟,2,15,6.6,3.907,3.006,0.142857143,0.067331671,-1
莫名,2,15,6.6,3.907,2.307,0.142857143,0.067331671,1
现在,2,14,5.2,3.664,3.182,0.142857143,0.062967581,0
牛逼,2,14,6.7,3.807,3.468,0.285714286,0.058603491,1
弹幕,2,14,5.2,3.522,3.807,0.142857143,0.062967581,1
怎么,2,14,5.5,3.325,3.182,0.142857143,0.062967581,0
韩红,2,13,6.5,3.7,3.027,0.142857143,0.058603491,1
没有,2,13,4.2,3.393,3.239,0.142857143,0.04925187,0
wo,2,12,5,3.585,3.418,0.142857143,0.05361596,-1
b站,2,11,5.6,2.664,2.222,0.142857143,0.04925187,1
耳机,2,11,6.5,3.459,2.664,0.142857143,0.040523691,1
tf,2,11,5.8,3.027,2.222,0.142857143,0.04925187,-1
还没,2,10,4.1,2.722,2.046,0.142857143,0.044887781,-1
世界,2,9,7.1,2.642,2.948,0.142857143,0.040523691,0
卧槽,2,9,7.5,3.17,3.17,0.142857143,0.040523691,1
不错,2,9,4.2,2.725,2.642,0.142857143,0.040523691,0
15,2,8,4,2.75,2.156,0.285714286,0.03117207,-1
他们,2,8,4.7,3,2.406,0.142857143,0.036159601,0
警告,2,8,6,2.75,2.75,0.285714286,0.03117207,0
手榴弹,3,56,5.2,3.196,3.924,0.142857143,0.251246883,0
三幻神,3,38,4.7,4.735,5.143,0.142857143,0.170199501,1
三巨头,3,37,4.6,3.149,4.79,0.142857143,0.165835411,1
调音师,3,29,4.9,2.393,4.582,0.142857143,0.130299252,1
波澜哥,3,27,4.1,4.001,3.644,0.142857143,0.120947631,1
开口跪,3,17,4.7,3.69,3.97,0.142857143,0.07605985,1
面筋哥,3,14,4.2,3.236,2.835,0.142857143,0.062967581,1
开头见,3,11,4.6,3.459,3.459,0.142857143,0.04925187,1
音乐区,3,10,4.1,3.122,2.846,0.142857143,0.044887781,1
思维窃取,4,69,5.3,4.63,5.3,0.285714286,0.304862843,1
前方高能,4,59,4.5,4.083,4.343,0.428571429,0.251246883,1
骚老师好,4,33,4.3,3.855,4.161,1,0.120947631,-1
火钳刘明,4,21,6.1,4.011,4.071,0.142857143,0.094139651,1
前方核能,4,15,4.4,3.24,3.507,0.285714286,0.062967581,1
boys,4,12,5.8,2.126,3.585,0.142857143,0.04925187,-1
还来得及,4,9,5.4,2.059,2.948,0.142857143,0.040523691,-1
不会缺席,4,8,4.3,2.75,3,0.142857143,0.036159601,1
知道高音哥,5,24,4.3,2.773,2.182,0.142857143,0.107855362,-1
