SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.0,0.027091483,72.0,0.0,0.090207842,4666.0,5.0,0.0,0.0,0.0,0.0
0.0,0.225102584,47.0,0.0,0.331958505,8000.0,17.0,0.0,1.0,0.0,0.0
0.0,0.9999999,78.0,0.0,6.0,2520.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,46.0,1.0,4044.0,0.0,5.0,0.0,2.0,0.0,0.0
0.0,0.503970199,41.0,0.0,0.761094545,5700.0,17.0,0.0,2.0,0.0,1.0
0.0,0.067901335,69.0,0.0,0.065493451,10000.0,5.0,0.0,1.0,0.0,0.0
0.0,0.016302247,66.0,0.0,29.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,0.891021968,50.0,0.0,0.079120251,3500.0,6.0,0.0,0.0,0.0,0.0
0.0,1.166079873,42.0,0.0,2.323169208,4000.0,16.0,0.0,6.0,0.0,2.0
0.0,0.003732836,83.0,0.0,0.0,6757.0,3.0,0.0,0.0,0.0,0.0
0.0,0.022154084,79.0,0.0,0.371116986,3025.0,12.0,0.0,1.0,0.0,0.0
0.0,0.68028326,80.0,0.0,0.42985336,4568.0,6.0,0.0,1.0,0.0,0.0
0.0,0.076781874,56.0,0.0,0.250884846,12148.0,9.0,0.0,2.0,0.0,1.0
0.0,0.232859249,43.0,1.0,0.444851716,3000.0,9.0,0.0,1.0,0.0,0.0
0.0,0.013317765,58.0,1.0,0.231096074,12708.0,12.0,0.0,3.0,0.0,2.0
0.0,0.236403996,61.0,0.0,0.495001999,2500.0,5.0,0.0,0.0,0.0,0.0
0.0,0.4138049,60.0,0.0,0.816818357,7800.0,13.0,0.0,3.0,0.0,0.0
0.0,0.082576988,85.0,0.0,0.316370809,2534.0,11.0,0.0,0.0,0.0,0.0
0.0,0.04179193,55.0,0.0,1333.0,0.5,15.0,0.0,1.0,0.0,0.0
0.0,0.9999999,62.0,0.0,0.0,4726.5,1.0,0.0,0.0,0.0,0.0
0.0,0.372820726,57.0,0.0,0.456843288,5340.0,9.0,0.0,1.0,0.0,0.0
0.0,1.129353234,57.0,1.0,0.031916939,5200.0,1.0,1.0,0.0,0.0,1.0
0.0,0.048073798,74.0,0.0,0.071315372,4416.0,2.0,0.0,0.0,0.0,0.0
0.0,0.096565911,40.0,0.0,0.120809423,3310.0,4.0,0.0,0.0,0.0,1.0
0.0,0.003957859,52.0,0.0,2574.0,0.0,11.0,0.0,1.0,0.0,2.0
0.0,0.009772505,60.0,0.0,1697.0,1.0,5.0,0.0,2.0,0.0,0.0
0.0,0.049482216,47.0,0.0,63.0,0.0,4.0,0.0,0.0,0.0,1.0
0.0,0.961940945,54.0,3.0,1.567576677,2966.0,5.0,2.0,1.0,3.0,0.0
0.0,0.499807707,38.0,0.0,0.288719785,6701.0,8.0,0.0,2.0,0.0,2.0
0.0,0.668998824,58.0,2.0,0.449503795,3425.0,9.0,1.0,1.0,1.0,1.0
0.0,0.013957866,66.0,0.0,0.092653575,58000.0,22.0,0.0,4.0,0.0,0.0
0.0,0.673820618,45.0,0.0,0.458769758,5250.0,10.0,0.0,1.0,0.0,2.0
0.0,0.947700354,39.0,1.0,0.048520395,3750.0,8.0,0.0,0.0,0.0,0.0
0.0,0.004883494,69.0,0.0,364.0,0.5,5.0,0.0,2.0,0.0,0.0
