AGE,GENDER,MARITAL_STATUS,CUSTOMER_CLASS,LINE_TENURE,SUBPLAN,SUBPLAN_PREVIOUS,NUM_TEL,PAY_METD,PAY_METD_PREV,CUSTOMER_TYPE
2,1,1,3,2318,2102,2102,2,2,1,0
1,0,1,3,1834,2105,2105,6,2,2,0
2,1,1,3,1898,2102,2102,2,2,2,0
2,1,0,3,1378,2103,2102,1,2,2,0
2,1,0,3,1026,2101,2101,3,2,2,0
2,0,1,3,945,2242,2101,2,2,2,0
2,0,0,3,1558,2135,2114,1,2,2,0
1,1,1,4,841,2206,2134,1,2,2,0
1,0,1,5,449,2242,2242,1,2,2,0
2,1,0,3,1815,2105,2105,2,4,2,0
2,1,1,3,757,2135,2135,1,2,2,0
2,1,0,5,794,2105,2105,2,1,1,0
1,1,1,3,2026,2102,2107,2,2,2,1
1,0,1,3,1111,2242,2206,1,2,2,0
2,1,0,3,1931,2135,2101,4,2,2,0
1,1,1,6,1423,2135,2101,1,2,2,0
2,0,0,3,360,2242,2242,1,2,2,0
1,1,1,3,2237,2206,2108,1,4,2,0
2,0,0,3,656,2101,2101,3,2,2,0
1,0,1,3,713,2242,2107,1,2,2,0
1,1,1,3,2616,2102,2107,1,2,2,0
2,1,1,7,2497,2165,2183,3,2,2,0
2,1,1,3,3124,2137,2104,2,2,2,0
2,1,0,3,1557,2114,4101,1,2,2,0
1,0,1,3,2101,2102,2102,1,2,2,0
2,0,0,3,1087,2105,2105,2,2,2,0
1,1,1,3,731,2105,2105,2,2,2,0
3,1,0,3,947,2106,2106,3,4,2,0
2,0,1,3,492,2242,2135,2,2,2,0
2,1,1,3,1418,2102,2101,2,2,1,0
1,1,1,3,2432,2137,2104,2,1,2,0
2,1,0,3,2046,2101,2101,2,2,2,0
2,1,0,3,1111,2114,2101,1,2,2,0
2,0,1,3,842,2105,2105,3,1,1,0
1,0,1,4,268,2241,2241,1,2,2,0
2,0,0,3,576,2206,2206,1,2,2,0
2,1,0,3,1548,2114,4101,2,0,2,0
2,1,0,3,3014,2243,2102,1,4,2,0
2,0,1,3,2511,2107,2101,2,2,2,0
2,1,0,3,268,2241,2241,1,2,2,0
2,1,1,3,884,2119,2119,7,2,2,0
1,1,0,3,1114,2241,2101,1,2,2,0
2,1,0,7,1555,2114,2102,2,2,1,0
2,0,1,7,1963,2161,2101,3,2,2,0
1,1,1,3,1576,2103,2103,1,2,2,0
