Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Bvid,Tname,View,Like,Danmaku,Reply,Coin,Share,Favorite,Length,Mark
一下,2,20,5.0,2.464,3.984,1.000,0.167,BV1FW411R7cH,人力VOCALOID,1822255,35136,5801,1130,16862,14170,23685,120,0
一个,2,33,5.1,3.918,3.406,4.000,0.111,BV1Jt411F7vW,搞笑,1447252,119401,10251,1634,83261,16011,44088,217,0
一半,2,24,5.8,3.116,2.013,2.000,0.167,BV1pi4y1x7s7,鬼畜调教,4688283,167430,5219,2744,77194,68915,81373,96,0
一定,2,19,5.5,3.116,2.564,2.000,0.083,BV1KJ411w7dT,鬼畜调教,1358196,94423,23267,4401,63517,11021,37413,218,0
一定,2,21,5.0,2.390,2.259,1.000,0.148,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
一样,2,30,5.3,3.236,3.333,1.000,0.046,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
一言为定,4,19,5.0,3.787,3.682,1.000,0.235,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,-1
一起拉大便,5,85,6.0,3.071,2.809,20.000,0.465,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
一路走好,4,71,5.1,3.446,3.215,25.000,0.213,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,1
一遍,2,20,5.2,2.904,3.622,2.000,0.158,BV1FW411R7cH,人力VOCALOID,1822255,35136,5801,1130,16862,14170,23685,120,-1
一遍,2,49,5.1,2.033,3.027,1.000,0.438,BV1rE41177qz,搞笑,1358971,241235,33501,6113,160261,24746,64915,112,-1
一遍,2,55,5.0,2.782,4.610,2.000,0.373,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
一颗,2,27,5.6,2.946,2.509,1.000,0.041,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
七娃,2,28,5.5,4.250,4.593,1.000,0.049,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
万恶之源,4,195,6.1,5.162,4.954,2.000,2.366,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
万恶之源,4,225,5.3,5.186,4.914,2.000,2.765,BV1qs411b7zX,鬼畜调教,1306077,21374,7606,1398,19456,3612,26616,81,1
万恶之源,4,28,7.6,3.664,4.325,1.000,0.049,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,1
万能英语,4,15,5.9,3.323,3.323,1.000,0.125,BV1W4411H7EV,鬼畜调教,1479114,102072,3644,1331,59958,7672,49512,120,-1
丈夫不重要,5,25,5.9,3.399,3.433,1.000,0.071,BV1wb411A7rc,搞笑,2671992,75930,12355,4291,34050,13658,10306,352,-1
三上悠亚,4,29,5.1,2.492,3.878,1.000,0.358,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,-1
三大目标,4,40,7.4,3.026,4.344,1.000,0.296,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,-1
三巨头,3,37,5.1,3.131,4.486,1.000,0.457,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,1
三文鱼,3,23,6.8,3.262,3.377,1.000,0.280,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,-1
三连三连,4,16,6.9,3.453,3.500,1.000,0.022,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
三连,2,119,5.1,5.050,4.609,2.000,0.446,BV1pz4y1Q7p2,人力VOCALOID,8236456,714805,19485,4107,623584,43208,306750,242,1
三连,2,16,6.0,3.500,3.203,1.000,0.125,BV1Qg4y1z7uc,人力VOCALOID,1309760,87320,3287,1518,32143,13065,19206,128,1
三连,2,16,7.2,3.625,2.656,2.000,0.125,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,1
三连,2,17,7.6,2.463,2.213,1.000,0.078,BV1KJ411w7dT,鬼畜调教,1358196,94423,23267,4401,63517,11021,37413,218,1
三连,2,18,6.0,3.642,3.530,3.000,0.023,BV1yK4y1h7XH,鬼畜剧场,2151863,128525,5956,1224,66209,14695,40946,659,1
三连,2,20,6.7,3.304,2.304,1.000,0.079,BV1Xg4y1q78q,人力VOCALOID,1367143,128463,9442,2825,67193,4041,15859,252,1
三连,2,21,6.5,3.423,2.910,2.000,0.115,BV17y4y1k7cf,鬼畜剧场,9080936,524329,20484,7778,411321,296994,258458,156,1
三连,2,240,6.8,4.629,4.404,16.000,0.264,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
三连,2,25,6.8,3.703,3.213,2.000,0.109,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,1
三连,2,25,7.4,4.134,3.213,2.000,0.205,BV1fK4y1h7q2,鬼畜调教,7379420,426793,14456,2250,125217,44095,122143,117,1
三连,2,30,6.2,4.457,4.095,2.000,0.289,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,1
三连,2,32,7.3,3.903,3.369,2.000,0.378,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
三连,2,37,6.3,4.844,4.186,2.000,0.133,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,1
三连,2,37,7.3,3.064,3.353,12.000,0.245,BV1vE41147bi,人力VOCALOID,2050540,218129,37575,9352,86092,9363,45110,98,1
三连,2,44,6.7,4.025,3.456,2.000,0.357,BV1rE41177qz,搞笑,1358971,241235,33501,6113,160261,24746,64915,112,1
三连,2,68,5.8,4.135,5.107,2.000,0.308,BV1e741157jr,人力VOCALOID,1684376,143509,6931,2766,107251,7457,34771,214,1
三连,2,75,6.9,5.100,4.633,2.000,0.296,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,1
三连,2,84,5.0,5.060,3.899,3.000,0.963,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,1
上头上头,4,16,5.6,2.649,2.875,2.000,0.073,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
上头,2,18,5.3,2.864,3.392,1.000,0.084,BV1e741157jr,人力VOCALOID,1684376,143509,6931,2766,107251,7457,34771,214,0
上头,2,31,5.2,4.503,3.080,2.000,0.303,BV18J411D7Jf,音MAD,4341290,184409,7085,2693,18457,10334,90286,99,0
上头,2,333,5.5,5.147,4.337,4.000,3.817,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,0
上头,2,62,5.1,4.941,3.936,2.000,0.728,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,0
上头,2,77,5.3,5.108,4.463,6.000,0.767,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,0
上帝之鞭,4,85,5.9,5.443,4.798,2.000,0.307,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,1
上我的床,4,92,6.4,3.844,3.622,1.000,0.681,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,-1
上海,2,52,5.7,3.542,2.245,2.000,0.495,BV1nW411p7u1,搞笑,2526029,42293,4615,1743,58254,25807,34824,97,0
上海zoo,5,128,5.1,5.187,5.028,1.000,0.225,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
上香上香,4,28,5.1,3.450,3.694,1.000,0.006,BV15W411i7dR,人力VOCALOID,2384323,33262,10365,4185,70770,21261,55689,164,-1
上香,2,236,5.1,5.950,5.618,4.000,1.396,BV15W411i7dR,人力VOCALOID,2384323,33262,10365,4185,70770,21261,55689,164,1
上香,2,24,6.0,2.919,2.919,11.000,0.143,BV1vE41147bi,人力VOCALOID,2050540,218129,37575,9352,86092,9363,45110,98,1
上香,2,35,6.7,4.515,3.976,3.000,0.267,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,1
上香,2,67,6.6,3.798,4.162,1.000,0.103,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
上香,2,97,6.6,3.767,3.591,9.000,0.399,BV1KJ411w7dT,鬼畜调教,1358196,94423,23267,4401,63517,11021,37413,218,1
下场,2,16,6.3,2.477,3.453,1.000,0.072,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,0
下坠,2,23,6.8,4.176,3.588,1.000,0.104,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,-1
下巴,2,23,6.5,3.849,4.023,1.000,0.040,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,0
下次一定,4,16,6.0,3.625,3.703,1.000,0.178,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,1
下次一定,4,173,5.5,5.722,5.479,2.000,2.123,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,1
下次一定,4,20,5.8,3.546,4.022,1.000,0.156,BV1Qg4y1z7uc,人力VOCALOID,1309760,87320,3287,1518,32143,13065,19206,128,1
下次一定,4,29,6.7,3.755,3.311,2.000,0.231,BV1fK4y1h7q2,鬼畜调教,7379420,426793,14456,2250,125217,44095,122143,117,1
下次一定,4,29,7.3,3.736,3.437,2.000,0.341,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
下次一定,4,40,7.0,3.366,4.413,2.000,0.057,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
下次一定,4,49,5.3,4.818,4.650,1.000,0.408,BV1W4411H7EV,鬼畜调教,1479114,102072,3644,1331,59958,7672,49512,120,1
不会缺席,4,22,6.2,2.698,3.072,1.000,0.155,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,1
不可能,3,17,5.1,3.175,3.382,2.000,0.073,BV1KJ411w7dT,鬼畜调教,1358196,94423,23267,4401,63517,11021,37413,218,-1
不安,2,35,6.2,2.100,3.448,1.000,0.246,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
不挂科,3,28,6.3,2.778,3.820,1.000,0.197,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
不放弃,3,19,5.6,2.140,4.037,1.000,0.141,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,-1
不敢,2,20,5.4,3.309,2.139,1.000,0.148,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,0
不服,2,83,5.7,2.491,4.859,2.000,0.593,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,0
不简单,3,17,5.3,2.492,3.287,1.000,0.026,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
不行,2,52,5.1,4.440,2.006,2.000,0.068,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
不要停下来,5,30,5.4,3.365,2.847,1.000,0.250,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,-1
不要脸,3,20,5.2,3.646,4.022,1.000,0.206,BV1M7411r7vb,鬼畜调教,3008999,145901,6581,2695,73206,45632,48418,97,1
专业,2,19,6.9,2.815,3.326,1.000,0.075,BV1Xg4y1q78q,人力VOCALOID,1367143,128463,9442,2825,67193,4041,15859,252,0
且慢,2,17,9.8,2.890,2.816,1.000,0.026,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
世界名画,4,19,8.4,2.715,2.931,1.000,0.029,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
世界,2,22,5.2,3.971,3.259,2.000,0.076,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
世界,2,29,7.3,2.509,4.280,1.000,0.215,BV1ix411z7G1,鬼畜调教,7818623,170800,41315,8247,175609,129873,224392,135,0
世界,2,34,8.2,3.757,4.157,1.000,0.038,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
世界,2,39,7.8,3.229,4.211,2.000,0.268,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,0
世界,2,50,8.4,4.296,3.485,2.000,0.075,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
东西,2,15,8.7,2.790,3.774,1.000,0.068,BV1cE411477E,人力VOCALOID,1414859,134956,31453,9373,38864,8994,19883,221,0
东西,2,18,7.2,2.281,2.725,1.000,0.023,BV1Fb411F7Ti,网络游戏,1083704,3927,2506,1118,817,2804,2498,795,0
东西,2,19,8.2,2.800,3.787,1.000,0.033,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,0
东西,2,20,8.5,2.595,4.122,1.000,0.031,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,0
东西,2,25,7.5,2.722,4.294,1.000,0.028,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
东西,2,30,7.9,2.509,4.070,3.000,0.341,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,0
丝滑,2,51,6.5,3.246,3.475,3.000,0.383,BV1mv411v7D3,搞笑,1610244,99031,5628,1176,23913,25260,25095,128,1
