AGE,GENDER,MARITAL_STATUS,CUSTOMER_CLASS,LINE_TENURE,SUBPLAN,SUBPLAN_PREVIOUS,NUM_TEL,NUM_ACT_TEL,PAY_METD,PAY_METD_PREV,CUSTOMER_TYPE
35,M,S,3,2318,2102,2102,2,1,cs,co,2G
30,F,S,3,1834,2105,2105,6,3,cs,cs,2G
35,M,S,3,1898,2102,2102,2,2,cs,cs,2G
53,M,M,3,1378,2103,2102,1,1,cs,cs,2G
42,M,M,3,1026,2101,2101,3,2,cs,cs,2G
42,F,S,3,945,2242,2101,2,2,cs,cs,2G
31,F,M,3,1558,2135,2114,1,1,cs,cs,2G
18,M,S,4,841,2206,2134,1,1,cs,cs,2G
26,F,S,5,449,2242,2242,1,1,cs,cs,2G
44,M,M,3,1815,2105,2105,2,2,dd,cs,2G
39,M,S,3,757,2135,2135,1,1,cs,cs,2G
38,M,M,5,794,2105,2105,2,2,co,co,2G
26,M,S,3,2026,2102,2107,2,2,cs,cs,3G
22,F,S,3,1111,2242,2206,1,1,cs,cs,2G
49,M,M,3,1931,2135,2101,4,2,cs,cs,2G
29,M,S,6,1423,2135,2101,1,0,cs,cs,2G
58,F,M,3,360,2242,2242,1,1,cs,cs,2G
30,M,S,3,2237,2206,2108,1,1,dd,cs,2G
32,F,M,3,656,2101,2101,3,3,cs,cs,2G
21,F,S,3,713,2242,2107,1,1,cs,cs,2G
29,M,S,3,2616,2102,2107,1,1,cs,cs,2G
34,M,S,7,2497,2165,2183,3,2,cs,cs,2G
42,M,S,3,3124,2137,2104,2,2,cs,cs,2G
51,M,M,3,1557,2114,4101,1,1,cs,cs,2G
30,F,S,3,2101,2102,2102,1,1,cs,cs,2G
43,F,M,3,1087,2105,2105,2,2,cs,cs,2G
29,M,S,3,731,2105,2105,2,1,cs,cs,2G
68,M,M,3,947,2106,2106,3,1,dd,cs,2G
32,F,S,3,492,2242,2135,2,1,cs,cs,2G
49,M,S,3,1418,2102,2101,2,1,cs,co,2G
30,M,S,3,2432,2137,2104,2,0,co,cs,2G
48,M,M,3,2046,2101,2101,2,1,cs,cs,2G
52,M,M,3,1111,2114,2101,1,1,cs,cs,2G
32,F,S,3,842,2105,2105,3,2,co,co,2G
18,F,S,4,268,2241,,1,1,cs,cs,2G
47,F,M,3,576,2206,2206,1,1,cs,cs,2G
41,M,M,3,1548,2114,4101,2,2,cg,cs,2G
47,M,M,3,3014,2243,2102,1,1,dd,cs,2G
34,F,S,3,2511,2107,2101,2,2,cs,cs,2G
40,M,M,3,268,2241,2241,1,1,cs,cs,2G
32,M,S,3,884,2119,2119,7,3,cs,cs,2G
29,M,M,3,1114,2241,2101,1,1,cs,cs,2G
